Citance Number: 1 | Reference Article:  W07-2002.txt | Citing Article:  W07-2087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The object of the sense induction task of SENSEVAL-4 (Agirre and Soroa, 2007) was to cluster 27,132 instances of 100 different words (35 nouns and 65 verbs) into senses or classes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Participants were provided with information about 100 target words (65 verbs and 35 nouns), each target word having a set of contexts where the word appears.</S><S sid = NA ssid = NA>System R. All Nouns Verbs FSc.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W07-2002.txt | Citing Article:  P11-1148.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The supervised evaluation in the SEMEVAL-2010WSI/WSD task follows the scheme of the SEMEVAL 2007 WSI task (Agirre and Soroa, 2007), with some modifications.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SemEval-2007 Task 02: Evaluating Word Sense Induction and Discrimination Systems</S><S sid = NA ssid = NA>We reused the data from the SemEval 2007 English lexical sample subtask of task 17, and.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W07-2002.txt | Citing Article:  D10-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The evaluation of the collocational-graph method in the SemEval-2007 sense induction task (Agirre and Soroa, 2007) showed promising results.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SemEval-2007 Task 02: Evaluating Word Sense Induction and Discrimination Systems</S><S sid = NA ssid = NA>is not a sense induction system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W07-2002.txt | Citing Article:  D10-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our definition of context is equivalent to an instance of the target word in the SemEval-2007 sense induction task dataset (Agirre and Soroa, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SemEval-2007 Task 02: Evaluating Word Sense Induction and Discrimination Systems</S><S sid = NA ssid = NA>is not a sense induction system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W07-2002.txt | Citing Article:  D10-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We followed the setting of SemEval-2007 sense induction task (Agirre and Soroa, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SemEval-2007 Task 02: Evaluating Word Sense Induction and Discrimination Systems</S><S sid = NA ssid = NA>is not a sense induction system.</S> | Discourse Facet:  NA | Annotator: Automatic


