Citance Number: 1 | Reference Article:  P02-1053.txt | Citing Article:  W02-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We also note that Turney (2002) found movie reviews to be the most difficult of several domains for sentiment classification, reporting an accuracy of 65.83% on a 120-document set (random-choice performance: 50%).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It appears that movie reviews are difficult to classify, because the whole is not necessarily the sum of the parts; thus the accuracy on movie reviews is about 66%.</S><S sid = NA ssid = NA>The difficulty with movie reviews is that there are two aspects to a movie, the events and actors in the movie (the elements of the movie), and the style and art of the movie (the movie as a gestalt; a unified whole).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P02-1053.txt | Citing Article:  P07-3007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Most of the authors traditionally use a classification-based approach for sentiment extraction and sentiment polarity detection (for example, Pang et al (2002), Turney (2002), Kim and Hovy (2004) and others), however, the research described in this paper uses the information retrieval (IR) paradigm which has also been used by some researchers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>PMI-IR uses Pointwise Mutual Information (PMI) and Information Retrieval (IR) to measure the similarity of pairs of words or phrases.</S><S sid = NA ssid = NA>This is the motivation for the research described here.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P02-1053.txt | Citing Article:  C10-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following (Turney, 2002), Yuen et al (2004) investigate the association between polarity words and some strongly-polarized morphemes in Chinese, and present a method for inferring sentiment orientations of Chinese words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Previous work has shown that NEAR performs better than AND when measuring the strength of semantic association between words (Turney, 2001).</S><S sid = NA ssid = NA>As an example, they present the following three sentences (Hatzivassiloglou & McKeown, 1997): The third sentence is incorrect, because we use “and” with adjectives that have the same semantic orientation (“simple” and “well-received” are both positive), but we use “but” with adjectives that have different semantic orientations (“simplistic” is negative).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P02-1053.txt | Citing Article:  C10-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>At phase level, Turney (2002) presents a technique for inferring the orientation and intensity of a phrase according to its PMI-IR statistical association with a set of strongly-polarized seed words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The PMI-IR algorithm is employed to estimate the semantic orientation of a phrase (Turney, 2001).</S><S sid = NA ssid = NA>SO is positive when phrase is more strongly associated with “excellent” and negative when phrase is more strongly associated with “poor”.</S> | Discourse Facet:  NA | Annotator: Automatic


