Citance Number: 1 | Reference Article:  A97-1030.txt | Citing Article:  P98-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The only exception is in (Wacholder et al 1997) where the reported performance for the sole semantic disambiguation task of PNs is 79%.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Most proper name recognizers that have been reported on in print either take as input text tagged by part-of-speech (e.g., the systems of (Paik et al. 1993) and (Mani et al.</S><S sid = NA ssid = NA>Several (e.g., (McDonald 1993), (Mani et al. 1993), (Paik et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A97-1030.txt | Citing Article:  I08-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Since the introduction of this task in MUC-6 (Grishman and Sundheim, 1996), numerous systems using various ways of exploiting entity-specific and local context features were proposed, from relatively simple character based models such as Cucerzan and Yarowsky (2002) and Klein et al (2003) to complex models making use of various lexical, syntactic ,morpho logical, and orthographical information, such as Wacholder et al (1997), Fleischman and Hovy (2002), and Florian et al (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Several (e.g., (McDonald 1993), (Mani et al. 1993), (Paik et al.</S><S sid = NA ssid = NA>Most proper name recognizers that have been reported on in print either take as input text tagged by part-of-speech (e.g., the systems of (Paik et al. 1993) and (Mani et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A97-1030.txt | Citing Article:  D07-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ravin and Kazi (1999) further refined the method of solving co-reference through measuring context similarity and integrated it into Nominator (Wacholder et al, 1997), which was one of the first successful systems for named entity recognition and co-reference resolution.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(See (Ravin and Wacholder 1996) for details.</S><S sid = NA ssid = NA>(See (Ravin and Wacholder 1996) for details.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A97-1030.txt | Citing Article:  D07-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The entity identification and in-document co reference components resemble the Nominator system (Wacholder et al, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Several (e.g., (McDonald 1993), (Mani et al. 1993), (Paik et al.</S><S sid = NA ssid = NA>Most proper name recognizers that have been reported on in print either take as input text tagged by part-of-speech (e.g., the systems of (Paik et al. 1993) and (Mani et al.</S> | Discourse Facet:  NA | Annotator: Automatic


