Citance Number: 1 | Reference Article:  P08-1004.txt | Citing Article:  P14-2079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We follow an open IE approach (Banko and Etzioni, 2008) and use dependencies to identify the elements.</S> | Reference Offset:  ['6','59'] | Reference Text:  <S sid = 6 ssid = >In 2007, we introduced a new approach to the RE task, called Open Information Extraction (Open IE), which scales RE to the Web.</S><S sid = 59 ssid = >The unique nature of the open extraction task has led us to develop O-CRF, an open extraction system that uses the power of graphical models to identify relations in text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1004.txt | Citing Article:  C10-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The ability to identify entities like people, organizations and geographic locations (Tjong KimSang and De Meulder, 2003), extract their attributes (Pasca, 2008), and identify entity relations (Banko and Etzioni, 2008) is useful for several applications in natural language processing and knowledge acquisition tasks like populating structured knowledge bases (KB).</S> | Reference Offset:  ['26','154'] | Reference Text:  <S sid = 26 ssid = >What do they look like?</S><S sid = 154 ssid = >In the future, we would like to explore the development of hybrid systems that leverage Open IE methods, like O-CRF, to reduce the number of training examples required per relation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1004.txt | Citing Article:  C10-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The information extraction oeuvre has a gamut of relation extraction methods for entities like persons, organizations, and locations, which can be classified as open or closed-domain depending on the restrictions on extractable relations (Banko and Etzioni, 2008).</S> | Reference Offset:  ['0','154'] | Reference Text:  <S sid = 0 ssid = >The Tradeoffs Between Open and Traditional Relation Extraction</S><S sid = 154 ssid = >In the future, we would like to explore the development of hybrid systems that leverage Open IE methods, like O-CRF, to reduce the number of training examples required per relation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1004.txt | Citing Article:  D11-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Downey et al (2007) starts from the output of the unsupervised information extraction system TextRunner (Banko and Etzioni, 2008), and uses language modeling techniques to estimate the reliability of sparse extractions.</S> | Reference Offset:  ['39','60'] | Reference Text:  <S sid = 39 ssid = >The manual identification of these patterns inspired a body of work in which this initial set of extraction patterns is used to seed a bootstrapping process that automatically acquires additional patterns for is-a or part-whole relations (Etzioni et al., 2005; Snow et al., 2005; Girju et al., 2006), It is quite natural then to consider whether the same can be done for all binary relationships.</S><S sid = 60 ssid = >The remainder of this section describes O-CRF, and compares it to the extraction model employed by TEXTRUNNER, the first Open IE system (Banko et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


