Citance Number: 1 | Reference Article:  W00-0730.txt | Citing Article:  N01-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>the number of votes for the class obtained through the pairwise voting is used as the certain score for beam search with width 5 (Kudo and Matsumoto,2000a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We defined the certainty score as the number of votes for the class (tag) obtained through the pairwise voting.</S><S sid = NA ssid = NA>We set the beam width N to 5 tentatively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W00-0730.txt | Citing Article:  N01-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the CoNLL-2000 shared task, we achieved the accuracy of 93.48 using IOB2-F representation (Kudo and Matsumoto, 2000b) 5.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we explore the use of Support Vector Machines (SVMs) for CoNLL-2000 shared task, chunk identification.</S><S sid = NA ssid = NA>We have applied our proposed method to the test data of CoNLL-2000 shared task, while training with the complete training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W00-0730.txt | Citing Article:  C10-2117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For SVM, we used the YAMCHA (Kudo and Matsumoto, 2000) sequence labeling system,1 which uses the TinySVM package for classification.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Second approach is pairwise classification.</S><S sid = NA ssid = NA>SVMs training is carried out with the Slight package, which is designed and optimized to handle large sparse feature vector and large numbers of training examples (Joachims, 2000; Joachims, 1999a).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W00-0730.txt | Citing Article:  N04-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For our experiments, we used TinySVM2 along with YamCha3 (Kudo and Matsumoto, 2000) (Kudo and Matsumoto, 2001) as the SVM training and test software.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have applied our proposed method to the test data of CoNLL-2000 shared task, while training with the complete training data.</S><S sid = NA ssid = NA>Figure 1 shows the results of our experiments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W00-0730.txt | Citing Article:  P06-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kudo and Matsumoto (2000) used an SVM based algorithm, and achieved NP chunking results of 93.72% precision, 94.02% recall and 93.87 F-measure for the same shared task data, using only the words and their PoS tags.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The all the values of the chunking F-measure are almost 93.5.</S><S sid = NA ssid = NA>Although we select features for learning in very straight way — using all available features such as the words their POS tags without any cut-off threshold for the number of occurrence, we archive high performance for test data.</S> | Discourse Facet:  NA | Annotator: Automatic


