Citance Number: 1 | Reference Article:  P94-1002.txt | Citing Article:  C96-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our salience factors mirror those used by (Lappin and Leass, 1994), with the exception of Poss-s, discussed below, and CNTX-S, which is sensitive to the context in which a discourse referent appears, where a context is a topically coherent segment of text, as determined by a text-segmentation algorithm which follows (Hearst, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Many researchers have studied the patterns of occurrence of characters, setting, time, and the other thematic factors that Chafe mentions, usually in the context of narrative.</S><S sid = NA ssid = NA>This could very well be due to problems with the algorithm used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P94-1002.txt | Citing Article:  N12-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>TextTiling (TT) (Hearst, 1994) relies on the simplest coherence relation word repetition and computes similarities between textual units based on the similarities of word space vectors.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Skorochod'ko (1972) suggests discovering a text's structure by dividing it up into sentences and seeing how much word overlap appears among the sentences.</S><S sid = NA ssid = NA>Influenced by Halliday & Hasan's (1976) theory of lexical coherence, Morris developed an algorithm that finds chains of related terms via a comprehensive thesaurus (Roget's Fourth Edition).3 For example, the 2Interestingly, Chafe arrived at the Flow Model after working extensively with, and then becoming dissatisfied with, a hierarchical model of paragraph structure like that of Longacre (1979). words residential and apartment both index the same thesaural category and can thus be considered to be in a coherence relation with one another.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P94-1002.txt | Citing Article:  W04-2906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Text-based segmentation approaches have utilized term-based similarity measures computed across candidate segments (Hearst, 1994) and also discourse markers to identify discourse structure (Marcu, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A cutoff based on a particular valley depth is similarly problematic.</S><S sid = NA ssid = NA>This paper has described algorithms for the segmentation of expository texts into discourse units that reflect the subtopic structure of expository text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P94-1002.txt | Citing Article:  P05-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Messages are partitioned into multi-paragraph segments using TextTiling, which reportedly has an overall precision of 83% and recall of 78% (Hearst, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>When the block similarity algorithm is allowed to be off by one paragraph, there is dramatic improvement in the scores for the texts that lower part of Table 2, yielding an overall precision of 83% and recall of 78%.</S><S sid = NA ssid = NA>Multi-Paragraph Segmentation Of Expository Text</S> | Discourse Facet:  NA | Annotator: Automatic


