Citance Number: 1 | Reference Article:  N03-2021.txt | Citing Article:  N04-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Another example of a loss function in this class is the MTeval metric introduced in Melamed et al (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Precision And Recall Of Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N03-2021.txt | Citing Article:  S12-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used the following n-gram-based metrics: BLEU (Papineni et al, 2002), NIST (Dod ding ton, 2002), ROUGE (Lin and Och, 2004), GTM (Melamed et al, 2003), METEOR (Banerjee and Lavie, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Precision And Recall Of Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N03-2021.txt | Citing Article:  P09-2025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>GTM General Text Matching (Melamed et al, 2003) calculates word overlap between a reference and a solution, without double counting duplicate words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Precision And Recall Of Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N03-2021.txt | Citing Article:  W11-2157.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Table 2 reports the translation performance as measured by BLEU (Papineni et al,2002), GTM (Melamed et al, 2003) and ME TEOR2 (Banerjee and Lavie, 2005) for Apertium and the three systems presented in the previous section, as well as the size of the phrase table and the amount of unknown words in the test set.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Precision And Recall Of Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N03-2021.txt | Citing Article:  P04-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Melamed et al (2003) used unigram F-measure to estimate machine translation quality and showed that unigram F-measure was as good as BLEU.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Precision And Recall Of Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N03-2021.txt | Citing Article:  P06-2003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We have selected a representative set of 22 metric variants corresponding to six different families: BLEU (Papineni et al, 2001), NIST (Dodding ton, 2002), GTM (Melamed et al, 2003), Per (Leusch et al, 2003) , WER (NieBen et al, 2000) and ROUGE (Lin and Och, 2004a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Precision And Recall Of Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


