Citance Number: 1 | Reference Article:  A00-2034.txt | Citing Article:  P12-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In a sense this is encouraging, as it motivates our most exciting future work: augmenting this simple model to explicitly capture complementary information such as distributional semantics (Blei et al, 2003), diathesis alternations (McCarthy, 2000) and selectional preferences (OSeaghdha, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Preferences for the target slots are compared using a measure of distributional similarity.</S><S sid = NA ssid = NA>And Ribas (1995) showed that selectional preferences acquired using alternations performed better on a word sense disambiguation task compared to preferences acquired without alternations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A00-2034.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In contrast to comparing head nouns directly, McCarthy (2000) instead compares the selectional preferences for each of the two slots (captured by a probability distribution over WordNet).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The method uses selectional preferences acquired as probability distributions over WordNet.</S><S sid = NA ssid = NA>In this experiment, we used a similarity score on the argument heads directly, instead of generalizing the argument heads to WordNet classes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A00-2034.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The approach of McCarthy (2000), on the other hand, addresses the generalization problem by comparing probability distributions over WordNet.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The method uses selectional preferences acquired as probability distributions over WordNet.</S><S sid = NA ssid = NA>Our approach, whilst being applicable only to RsAs, does not require human input specific to the alternation at hand.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A00-2034.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As mentioned above, McCarthy (2000) suggested the use of selectional profiles to capture generalizations over argument slots, so that two argument slots could be effectively compared for detecting alternations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The sum of the costs for the two target slots was compared to the cost of a TCM for encoding the union of the argument head data over the two slots.</S><S sid = NA ssid = NA>Preferences for the target slots are compared using a measure of distributional similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  A00-2034.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also acknowledge Gerald Gazdar for his helpful comments on this paper.</S><S sid = NA ssid = NA>WordNet classes are displayed in boxes with a label which best reflects the sense of the class.</S> | Discourse Facet:  NA | Annotator: Automatic


