Citance Number: 1 | Reference Article:  J10-4006.txt | Citing Article:  P14-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use a distributional resource for French, built on a 200M word corpus extracted from the French Wikipedia, following principles laid out in (Bourigault, 2002) from a structured model (Baroni and Lenci, 2010), i.e. using syntactic contexts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The labeled tensor is nothing other than a formalization of distributional data extracted in the word–link–word–score format, which is customary in many structured DSMs.</S><S sid = NA ssid = NA>In our experiments we do not make use of the contexts of the target word pairs that are provided with the test set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J10-4006.txt | Citing Article:  W11-2505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Several approaches have investigated the above mentioned problem: (Baroni and Lenci, 2010) use a representation based on third order tensors and provide a general framework for distributional semantics in which it is possible to represent several aspects of meaning using a single data structure.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Distributional Memory: A General Framework for Corpus-Based Semantics</S><S sid = NA ssid = NA>A general framework for distributional semantics should satisfy the following two requirements: (1) representing corpus-derived data in such a way as to capture aspects of meaning that have so far been modeled with different, prima facie incompatible data structures; (2) using this common representation to address a large battery of semantic experiments, achieving a performance at least comparable to that of state-of-art, taskspecific DSMs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J10-4006.txt | Citing Article:  D12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Baroni and Lenci (2010) present Distributional Memory, a generalized framework for distributional semantics from which several special-purpose models can be derived.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>With this aim in mind, we introduce Distributional Memory (DM), a generalized framework for distributional semantics.</S><S sid = NA ssid = NA>Distributional Memory: A General Framework for Corpus-Based Semantics</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J10-4006.txt | Citing Article:  D12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Example entries in Baroni and Lenci (2010)'s tensor is extracted from the corpus once, in the form of a set of weighted word-link-word tuples arranged into a third-order tensor.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As an alternative to this “one task, one model” approach, the Distributional Memory framework extracts distributional information once and for all from the corpus, in the form of a set of weighted word-link-word tuples arranged into a third-order tensor.</S><S sid = NA ssid = NA>As an alternative to this “one task, one model” approach, the Distributional Memory framework extracts distributional information once and for all from the corpus, in the form of a set of weighted word-link-word tuples arranged into a third-order tensor.</S> | Discourse Facet:  NA | Annotator: Automatic


