Citance Number: 1 | Reference Article:  C02-2025.txt | Citing Article:  W02-1502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These tools could use the type hierarchy to predict where conflicts are likely to arise and bring these to the engineer's attention, possibly inspired by the approach under development at CSLI for the dynamic maintenance of the LinGO Redwoods tree bank (Oepen et al, 2002).</S> | Reference Offset:  ['3','4'] | Reference Text:  <S sid = 3 ssid = >Since October 2001, the project is working to build the foun- dations for this new type of treebank, to develop a basic set of tools for treebank construction and maintenance, and to con- struct an initial set of 10,000 annotated trees to be distributed together with the tools under an open-source license.</S><S sid = 4 ssid = >1 Why Another (Type of) Treebank?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C02-2025.txt | Citing Article:  S12-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fuchss et al (2004) supported the claim by investigating MRS structures in the Redwoods corpus (Oepen et al, 2002).</S> | Reference Offset:  ['151','201'] | Reference Text:  <S sid = 151 ssid = >Dipper (2000) presents the application of a broad-coverage LFG grammar for German to constructing tectogrammatical structures for the TiGer corpus.</S><S sid = 201 ssid = >Oepen, S., & Callmeier, U.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C02-2025.txt | Citing Article:  W07-1220.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Furthermore, to test the grammar precision and accuracy, we use two tree banks: Redwoods (Oepen et al, 2002) for English and Hinoki (Bond et al, 2004) for Japanese.</S> | Reference Offset:  ['18','57'] | Reference Text:  <S sid = 18 ssid = >The key innovative aspect of the Redwoods ap- proach to treebanking is the anchoring of all linguis- tic data captured in the treebank to the HPSG frame- work and a generally-available broad-coverage gram- mar of English, the LinGO English Resource Grammar (Flickinger, 2000) as implemented with the LKB gram- mar development environment (Copestake, 2002).</S><S sid = 57 ssid = >In this section, we describe ex- periments using the Redwoods treebank to build and test systems for parse disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C02-2025.txt | Citing Article:  W04-3202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We now briefly describe the Redwoods treebanking environment (Oepen et al, 2002), our parse selection models and their performance.</S> | Reference Offset:  ['21','123'] | Reference Text:  <S sid = 21 ssid = >The treebanking environment, building on the [incr tsdb()] profiling environment (Oepen & Callmeier, 2000), presents annotators, one sentence at a time, with the full set of analyses produced by the grammar.</S><S sid = 123 ssid = >The first column of Ta- ble 2 presents the performance of the models on the tag selection problem.</S> | Discourse Facet:  NA | Annotator: Automatic


