Citance Number: 1 | Reference Article:  J97-2003.txt | Citing Article:  W98-1307.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >for a recent elaboration of these concepts see Mohri, 1997 [13]).</S> | Reference Offset:  ['31','380'] | Reference Text:  <S sid = 31 ssid = >Indeed, one of the recent trends in language studies is a large increase in the size of data sets.</S><S sid = 380 ssid = >The determirtization algorithm for such transducers is illustrated in Figures 13 and 14.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J97-2003.txt | Citing Article:  P10-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Weighted finite-state transducers have found recent favor as models of natural language (Mohri, 1997).</S> | Reference Offset:  ['0','7'] | Reference Text:  <S sid = 0 ssid = >Finite-State Transducers In Language And Speech Processing</S><S sid = 7 ssid = >Finite-state machines have been used in various domains of natural language processing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J97-2003.txt | Citing Article:  P10-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Application of cascades of weighted string transducers (WSTs) has been well-studied (Mohri,1997).</S> | Reference Offset:  ['53','281'] | Reference Text:  <S sid = 53 ssid = >Both determinization (Mohri 1994c) and minimization algorithms (Mohri 1994b) have been defined for the class of p-subsequential transducers, which includes sequential string-to-string transducers.</S><S sid = 281 ssid = >The complexity of the application of subsequential transducers is linear in the size of the string to which it applies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J97-2003.txt | Citing Article:  P10-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We recall previous formal presentations of WSTs (Mohri, 1997) and note informally that they may be represented as directed graphs with designated start and end states and edges labeled with input symbols, output symbols, and weights.</S> | Reference Offset:  ['135','448'] | Reference Text:  <S sid = 135 ssid = >The symbols of the alphabet Q = {xl, x2} store information about the size of the input string w. The output of L ends with x1 iff I wl is odd.</S><S sid = 448 ssid = >Weights in these graphs correspond to negative logarithms of probabilities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J97-2003.txt | Citing Article:  P03-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There exist a general weighted determinization and weight pushing algorithms that can be used to create a deterministic and pushed automaton equivalent to an input word or phone lattice (Mohri, 1997).</S> | Reference Offset:  ['406','546'] | Reference Text:  <S sid = 406 ssid = >T') by pushing.</S><S sid = 546 ssid = >Then the automaton A' = (Q', i',F',E,6') obtained by reversing A, applying determinization, rereversing the obtained automaton and determiruizing it is the minimal deterministic automaton equivalent to A.</S> | Discourse Facet:  NA | Annotator: Automatic


