Citance Number: 1 | Reference Article:  P99-1032.txt | Citing Article:  C00-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Specifically, each sentence was assigned a subjective or objective classitication, according to concensus lags derived by a stalistical analysis of the chisses assigned by three human judges (see (Wiebe et al, 1999) for further information).</S> | Reference Offset:  ['82','85'] | Reference Text:  <S sid = 82 ssid = >As applied here, the observed variables are the classifications assigned by the judges.</S><S sid = 85 ssid = >Once estimates of these parameters are obtained, each clause can be assigned the most probable latent category given the tags assigned by the judges.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P99-1032.txt | Citing Article:  N12-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Other approaches to annotator quality control include using EM-based algorithms for estimating annotator bias (Wiebe et al 1999, Ipeirotis et al 2010).</S> | Reference Offset:  ['78','135'] | Reference Text:  <S sid = 78 ssid = >Goodman's procedure is a specialization of the EM algorithm (Dempster et al., 1977), which is implemented in the freeware program CoCo (Badsberg, 1995).</S><S sid = 135 ssid = >Finally, a feature is included representing co-occurrence of word tokens and punctuation marks with the subjective and objective classification.4 There are many other features to investigate in future work, such as features based on tags assigned to previous utterances (see, e.g., (Wiebe et al., 1997; Samuel et al., 1998)), and features based on semantic classes, such as positive and negative polarity adjectives (Hatzivassiloglou and McKeown, 1997) and reporting verbs (Bergler, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P99-1032.txt | Citing Article:  D07-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wiebe et al (1999) classified sentence level subjectivity using syntactic classes such as adjectives, pronouns and modal verbs as features.</S> | Reference Offset:  ['28','135'] | Reference Text:  <S sid = 28 ssid = >However, the object of the sentence is not presented as material that is factual to the reporter, so the sentence is classified as subjective.</S><S sid = 135 ssid = >Finally, a feature is included representing co-occurrence of word tokens and punctuation marks with the subjective and objective classification.4 There are many other features to investigate in future work, such as features based on tags assigned to previous utterances (see, e.g., (Wiebe et al., 1997; Samuel et al., 1998)), and features based on semantic classes, such as positive and negative polarity adjectives (Hatzivassiloglou and McKeown, 1997) and reporting verbs (Bergler, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P99-1032.txt | Citing Article:  W11-0413.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We followed (Wiebe et al, 1999) in rationalizing the subjective vs. the objective categories.</S> | Reference Offset:  ['23','89'] | Reference Text:  <S sid = 23 ssid = >Such sentences may be either subjective or objective.</S><S sid = 89 ssid = >We apply these models to three data configurations: one with two categories (subjective and objective with no certainty ratings), one with four categories (subjective and objective with coarse-grained certainty ratings, as shown in Table 1), and one with eight categories (subjective and objective with fine-grained certainty ratings).</S> | Discourse Facet:  NA | Annotator: Automatic


