Citance Number: 1 | Reference Article:  W03-1728.txt | Citing Article:  W04-3236.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The word segmenter we built is similar to the maximum entropy word segmenter of (Xue and Shen, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The ambiguities in Chinese word segmentation is due to the fact that a hanzi can occur in different word-internal positions (Xue, 2003).</S><S sid = NA ssid = NA>A maximum entropy part-oftagger.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W03-1728.txt | Citing Article:  W04-3236.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The default feature, boundary tag feature of the previous character, and boundary tag feature of the character two before the current character used in (Xue and Shen, 2003) were dropped from our word segmenter, as they did not improve word segmentation accuracy in our experiments.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>), the previous two characters ( ), and the next two characters ( ) (e) The previous and the next character ( ) (f) The tag of the previous character ( ), and the tag of the character two before the current character ( ) One potential problem with the MEMM is that it can only scan the input in one direction, from left to right or from right to left.</S><S sid = NA ssid = NA>Feature templates (b) to (e) represent character features while (f) represents tag features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W03-1728.txt | Citing Article:  W04-3236.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We observed that character features were successfully used to build our word segmenter and that of (Xue and Shen, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This strategy has been successfully used in (Shen and Joshi, 2003).</S><S sid = NA ssid = NA>Feature templates (b) to (e) represent character features while (f) represents tag features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W03-1728.txt | Citing Article:  W04-3236.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our maximum entropy word segmenter is similar to that of (Xue and Shen, 2003), but the additional features we used and the post processing step gave improved word segmentation accuracy.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Chinese word segmentation as tagging.</S><S sid = NA ssid = NA>The ambiguities in Chinese word segmentation is due to the fact that a hanzi can occur in different word-internal positions (Xue, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W03-1728.txt | Citing Article:  P13-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Word segmentation can be formalized as a character classification problem (Xue and Shen, 2003), where each character in the sentence is given a boundary tag representing its position in a word.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>), the previous two characters ( ), and the next two characters ( ) (e) The previous and the next character ( ) (f) The tag of the previous character ( ), and the tag of the character two before the current character ( ) One potential problem with the MEMM is that it can only scan the input in one direction, from left to right or from right to left.</S><S sid = NA ssid = NA>Chinese word segmentation as tagging.</S> | Discourse Facet:  NA | Annotator: Automatic


