Citance Number: 1 | Reference Article:  C88-2128.txt | Citing Article:  E89-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We relate the algorithm to proposals by Shieber (1988).</S> | Reference Offset:  ['298','301'] | Reference Text:  <S sid = 298 ssid = >[Shieber, 1983] Stuart M. Shieber.</S><S sid = 301 ssid = >[Shieber, 1985] Stuart M. Shieber.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C88-2128.txt | Citing Article:  E89-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Shieber (1988) claims that the problem of logical equivalence reduces to the knowledge representation problem.</S> | Reference Offset:  ['247','252'] | Reference Text:  <S sid = 247 ssid = >Finally, on a more pessimistic note, we turn to a widespread problem in all systems for automatic generation of natural language, which Ap- pelt [1987] has discussed under the rubric "the problem of logical-form equivalence".</S><S sid = 252 ssid = >The problem is complicated further in that, strictly speaking, the class of equivalent logical forms from the standpoint of generation is not really closed under logical equivalence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C88-2128.txt | Citing Article:  E89-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Two further problems are the treatment of unary rules and functors with what Shieber (1988) calls vestigial semantics, which we prefer to call identity semantics.</S> | Reference Offset:  ['58','176'] | Reference Text:  <S sid = 58 ssid = >However, several problems immediately present hemselves.</S><S sid = 176 ssid = >asIt holds in general that closed-class lexical items---case-m~rking prepositions, function verbs, etc.~-are uniformly considered initial items for purposes of genera- tion because of their vestigial semantics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C88-2128.txt | Citing Article:  E89-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The obvious solution is to use a lemma table or chart (as discussed by Pereira and Warren 1984 and Shieber 1988).</S> | Reference Offset:  ['61','295'] | Reference Text:  <S sid = 61 ssid = >The traditional solution to this problem is to store lemmas in a table, i.e., the well-formed-substring table or chart in tabular parsing algorithms.</S><S sid = 295 ssid = >N. Pereira and Stuart M. Shieber.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C88-2128.txt | Citing Article:  E89-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Shieber (1988) states that to guarantee completeness in using a precomputed entry in the chart, the entry must subsume the formula being generated top-down.</S> | Reference Offset:  ['40','244'] | Reference Text:  <S sid = 40 ssid = >Nonconditional i tems formed by immediate inference from a lexieal entry will be called lexical items.</S><S sid = 244 ssid = >However, there is no guarantee that the other properties of the sentence include those of the goal; only compatibility is guaranteed.</S> | Discourse Facet:  NA | Annotator: Automatic


