Citance Number: 1 | Reference Article:  P04-1014.txt | Citing Article:  W04-3215.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The CCG parser used here (Clark and Curran, 2004b) is highly accurate and efficient, recovering labelled dependencies with an overall F-score of over 84% on WSJ text, and parsing up to 50 sentences per second.</S> | Reference Offset:  ['130','168'] | Reference Text:  <S sid = 130 ssid = >Clark and Curran (2004) shows that this supertagging method results in a highly efficient parser.</S><S sid = 168 ssid = >Our system demonstrates that accurate and efficient wide-coverage CCG parsing is feasible.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P04-1014.txt | Citing Article:  W04-3215.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The parser used in this paper is described in Clark and Curran (2004b).</S> | Reference Offset:  ['29','87'] | Reference Text:  <S sid = 29 ssid = >The dependency structures considered in this paper are described in detail in Clark et al. (2002) and Clark and Curran (2003).</S><S sid = 87 ssid = >The same parser is used to produce the packed charts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P04-1014.txt | Citing Article:  W04-3215.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','173'] | Reference Text:  <S sid = 54 ssid = >The components of the gradient vecThe first two terms in (5) are expectations of feature fi: the first expectation is over all derivations leading to each gold standard dependency structure; the second is over all derivations for each sentence in the training data.</S><S sid = 173 ssid = >This work was supported by EPSRC grant GR/M96889, and a Commonwealth scholarship and a Sydney University Travelling scholarship to the second author.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P04-1014.txt | Citing Article:  W04-3215.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In Clark and Curran (2004b) we investigate several log-linear parsing models for CCG.</S> | Reference Offset:  ['0','6'] | Reference Text:  <S sid = 0 ssid = >Parsing The WSJ Using CCG And Log-Linear Models</S><S sid = 6 ssid = >In Clark and Curran (2003) we argued for the use of log-linear parsing models for CCG.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P04-1014.txt | Citing Article:  W04-3215.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The parsing results in Clark and Curran (2004b) rely on a super tagger per-word accuracy of at least 97%, and a sentence accuracy of at least 60% (for 1.5 categories per word).</S> | Reference Offset:  ['90','91'] | Reference Text:  <S sid = 90 ssid = >The average number of categories assigned to each word is determined by a parameter in the supertagger.</S><S sid = 91 ssid = >For the first set of experiments, we used a setting which assigns 1.7 categories on average per word.</S> | Discourse Facet:  NA | Annotator: Automatic


