Citance Number: 1 | Reference Article:  W99-0611.txt | Citing Article:  W01-0716.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cardie and Wagstaff (1999) combined the use of WordNet with proper name gazetteers in order to obtain information on the compatibility of coreferential NPs in their clustering algorithm.</S> | Reference Offset:  ['63','66'] | Reference Text:  <S sid = 63 ssid = >Proper Name.</S><S sid = 66 ssid = >Here we use WordNet (Fellbaum, 1998) to obtain coarse semantic information for the head noun.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W99-0611.txt | Citing Article:  P02-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cardie and Wagstaff (1999) describe an unsupervised clustering approach to noun phrase coreference resolution in which features are assigned to single noun phrases only.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Noun Phrase Coreference As Clustering</S><S sid = 1 ssid = >This paper introduces a new, unsupervised algorithm for noun phrase coreference resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W99-0611.txt | Citing Article:  P02-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The feature semantic class used by Cardie and Wagstaff (1999) seems to be a domain-dependent one which can only be used for the MUC domain and similar ones.</S> | Reference Offset:  ['65','86'] | Reference Text:  <S sid = 65 ssid = >Semantic Class.</S><S sid = 86 ssid = >Here, NPi subsumes NP2, giving them a distance of —oo via the word substring term; however, NPi's semantic class is COMPANY, and NP2's class is OBJECT, generating a distance of oo via the semantic class feature.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W99-0611.txt | Citing Article:  P02-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cardie and Wagstaff (1999) report a performance of 53.6% F-measure (evaluated according to Vilain et al (1995)).</S> | Reference Offset:  ['11','110'] | Reference Text:  <S sid = 11 ssid = >Ge et al. (1998) present a probabilistic model for pronoun resolution trained on a small subset of the Penn Treebank Wall Street Journal corpus (Marcus et al., 1993).</S><S sid = 110 ssid = >They were calculated automatically using the MUC-6 scoring program (Vilain et al., 1995).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W99-0611.txt | Citing Article:  P02-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, the cost is the decrease in performance to about 53% F-measure on the same data (Cardie and Wagstaff, 1999) which may be unsuitable for a lot of tasks.</S> | Reference Offset:  ['118','159'] | Reference Text:  <S sid = 118 ssid = >Subsequent tests with different values for r on the formal evaluation data set also obtained optimal performance with r= 4.</S><S sid = 159 ssid = >In an evaluation on the MUC-6 data set (see Table 6), RESOLVE achieves an F-measure of 47%.</S> | Discourse Facet:  NA | Annotator: Automatic


