Citance Number: 1 | Reference Article:  P96-1011.txt | Citing Article:  P98-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','154'] | Reference Text:  <S sid = 48 ssid = >More colloquially, (7) says that the output of rightward (leftward) composition may not compose or apply over anything to is right (left).</S><S sid = 154 ssid = >Future work should continue by eliminating the spurious ambiguities that arise from grammatical or lexical type-raising.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P96-1011.txt | Citing Article:  P98-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Eisner (1996, p.81) in fact suggested that the labeling system can be implemented in the grammar by templates, or in the processor by labeling the chart entries.</S> | Reference Offset:  ['69','71'] | Reference Text:  <S sid = 69 ssid = >The 24 templates schematized in (10) replace the two templates of (4).</S><S sid = 71 ssid = >In particular, the polynomial-time, polynomialspace CCG chart parser of (Vijay-Shanker & Weir, 1993) can be trivially adapted to respect the constraints by tagging chart entries.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P96-1011.txt | Citing Article:  P98-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >But, as pointed out by Eisner (1996, p.85), this is not spurious ambiguity in the technical sense, just multiple derivations due to alternative lexical category assignments.</S> | Reference Offset:  ['137','139'] | Reference Text:  <S sid = 137 ssid = >That is, whenever the lexicon contains an entry of a certain category X, with semantics x, it also contains one with (say) category T/ (T \X) and interpretation Ap.p(x).</S><S sid = 139 ssid = >If type-raising is lexical, then the definitions of this paper do not recognize (19) as a spurious ambiguity, because the two parses are now, technically speaking, analyses of different sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P96-1011.txt | Citing Article:  P12-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The C&C parser employs the normal-form constraints of Eisner (1996) to address spurious ambiguity in 1-best parsing.</S> | Reference Offset:  ['0','11'] | Reference Text:  <S sid = 0 ssid = >Efficient Normal-Form Parsing For Combinatory Categorial Grammar</S><S sid = 11 ssid = >All other parses are suppressed by simple normal-form constraints that are enforced throughout the parsing process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P96-1011.txt | Citing Article:  C04-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The second strategy is to use Eisner's normal form constraints (Eisner, 1996).</S> | Reference Offset:  ['11','148'] | Reference Text:  <S sid = 11 ssid = >All other parses are suppressed by simple normal-form constraints that are enforced throughout the parsing process.</S><S sid = 148 ssid = >Two parsing algorithms have been presented for practical use.</S> | Discourse Facet:  NA | Annotator: Automatic


