Citance Number: 1 | Reference Article:  C94-1042.txt | Citing Article:  W96-0303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The ANLT lexicon was derived semi-automatically from a machine readable dictionary (LDOCE), and although the COMLEX syntax dictionary (Grishman et al, 1994), which was derived with much greater amounts of human effort, has a slightly better performance, the difference is not great.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Comlex Syntax: Building A Computational Lexicon</S><S sid = NA ssid = NA>Longman Dictionary of Con- lemporary English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C94-1042.txt | Citing Article:  C08-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We extend our previous work (Chodorowetal., 2007) by experimenting with combination features, as well as features derived from the Google N-Gram corpus and Comlex (Grishman et al, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Other syntactic features are recorded under :features.</S><S sid = NA ssid = NA>This problem is eompmmded by words which take on particular features only in special contexts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C94-1042.txt | Citing Article:  C08-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We also experimented with other features such as augmenting the model with verb-preposition preferences derived from CoMlex (Grishman et al, 1994), and querying the Google Terabyte N-gram corpus with the same patterns used in the combination features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Other syntactic features are recorded under :features.</S><S sid = NA ssid = NA>This problem is eompmmded by words which take on particular features only in special contexts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C94-1042.txt | Citing Article:  E12-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Although a number of freely available, large scale and accurate SCF lexicons exist ,e.g. COMLEX (Grishman et al 1994), VerbNet (Kipperet al 2008) for English, availability and limitations in size and coverage remain an inherent is sue.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Longman Dictionary of Con- lemporary English.</S><S sid = NA ssid = NA>Automatie acquisition of a large subeategorization dictionary fi'om eo,'pora.</S> | Discourse Facet:  NA | Annotator: Automatic


