Citance Number: 1 | Reference Article:  D08-1068.txt | Citing Article:  P09-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Poon and Domingos (2008) has empirically reported that such global approaches achieve performance better than the ones based on incrementally processing a text.</S> | Reference Offset:  ['11','32'] | Reference Text:  <S sid = 11 ssid = >Unsupervised approaches are attractive due to the availability of large quantities of unlabeled text.</S><S sid = 32 ssid = >Prior to our work, the best performance in unsupervised coreference resolution was achieved by Haghighi & Klein (2007), using a nonparametric Bayesian model based on hierarchical Dirichlet processes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D08-1068.txt | Citing Article:  C10-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ng (2008) used an Expectation-Maximization (EM) algorithm, and Poon and Domingos (2008) applied Markov Logic Network (MLN).</S> | Reference Offset:  ['25','92'] | Reference Text:  <S sid = 25 ssid = >We then describe our Markov logic network for joint unsupervised coreference resolution, and the learning and inference algorithms we used.</S><S sid = 92 ssid = >Kok & Domingos (2007) applied Markov logic to relational clustering, but they used hard EM.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D08-1068.txt | Citing Article:  D12-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In fact, Markov logic has been previously used by Poon and Domingos (2008) for coreference resolution and achieved good results, but it was used for unsupervised coreference resolution and the method was based on a different model, the entity-mention model.</S> | Reference Offset:  ['0','25'] | Reference Text:  <S sid = 0 ssid = >Joint Unsupervised Coreference Resolution with Markov Logic</S><S sid = 25 ssid = >We then describe our Markov logic network for joint unsupervised coreference resolution, and the learning and inference algorithms we used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D08-1068.txt | Citing Article:  D12-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For coreference resolution, the most notable one is unsupervised coreference resolution by Poon and Domingos (2008).</S> | Reference Offset:  ['0','12'] | Reference Text:  <S sid = 0 ssid = >Joint Unsupervised Coreference Resolution with Markov Logic</S><S sid = 12 ssid = >However, unsupervised coreference resolution is much more difficult.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D08-1068.txt | Citing Article:  D12-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To seek good performance in an unsupervised way, Poon and Domingos (2008) highly rely on two important strong indicators: appositives and predicate nominatives.</S> | Reference Offset:  ['163','173'] | Reference Text:  <S sid = 163 ssid = >This can be very inefficient for highly correlated clauses.</S><S sid = 173 ssid = >Our optimization problem is not convex, so initialization is important.</S> | Discourse Facet:  NA | Annotator: Automatic


