Citance Number: 1 | Reference Article:  C00-2163.txt | Citing Article:  W01-1408.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >First, it has been shown that Model 4 produces a very good alignment quality in comparison to various other alignment models (Och and Ney, 2000b).</S> | Reference Offset:  ['79','124'] | Reference Text:  <S sid = 79 ssid = >We measure the quality of tile al)ove inentioned aligmnent models with xespect to alignment quality and translation quality.</S><S sid = 124 ssid = >We have shown that by using inore sophisticated models the quality of the alignments improves ignificantly.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C00-2163.txt | Citing Article:  C04-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','153'] | Reference Text:  <S sid = 48 ssid = >Assmning a mfiform align- ment prol)ability p(i l j ,  I )  = 1/1, we obtain Model 1.</S><S sid = 153 ssid = >of the MT Summit IV, pages 127-135, Kobe, Jat)an.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C00-2163.txt | Citing Article:  C04-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Alternative measures for the evaluation of one-to-one word links have been proposed in (Och and Ney, 2000a; Och and Ney, 2003).</S> | Reference Offset:  ['135','144'] | Reference Text:  <S sid = 135 ssid = >R. Kneser and H. Ney.</S><S sid = 144 ssid = >F. J. Och, C. Tilhnalm, mid H. Ney.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C00-2163.txt | Citing Article:  C04-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Furthermore, we do not split MWU links as proposed by (Och and Ney, 2000a).</S> | Reference Offset:  ['135','144'] | Reference Text:  <S sid = 135 ssid = >R. Kneser and H. Ney.</S><S sid = 144 ssid = >F. J. Och, C. Tilhnalm, mid H. Ney.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C00-2163.txt | Citing Article:  W03-0611.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As in other uses of parallel corpora, good alignment is essential in order for the results to be meaningful (Och and Ney, 2000).</S> | Reference Offset:  ['32','76'] | Reference Text:  <S sid = 32 ssid = >This might be suitable for small corpora, but fi)r large corpora it is possil)le to make a more re- fine(1 model of Pr (a j  ~i-I  i - I  Ji ,% ,c~).</S><S sid = 76 ssid = >The alignment templates are automatically trailmd using a parallel trailxing corlms.</S> | Discourse Facet:  NA | Annotator: Automatic


