Citance Number: 1 | Reference Article:  N09-2004.txt | Citing Article:  D10-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, little research has been done on how to effectively perform SRL on bi text, which has important applications including machine translation (Wu and Fung, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Oracle analysis of n-best lists and lattices show that they often focus on lexical choice alternatives rather than re-ordering / role variations which are more important to semantic adequacy.</S><S sid = NA ssid = NA>Many of the most glaring errors made by today’s statistical machine translation systems are those resulting from confusion of semantic roles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N09-2004.txt | Citing Article:  P14-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally in the post-processing approach category, Wu and Fung (2009) performed semantic role labeling on translation output and reordered arguments to maximize the cross-lingual match of the semantic frames between the source sentence and the target translation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The second pass takes the output of the first pass, and re-orders constituent phrases corresponding to semantic predicates and arguments, seeking to maximize the cross-lingual match of the semantic parse of the re-ordered translation to that of the original input sentence.</S><S sid = NA ssid = NA>Such models, which identify semantic frames within input sentences by marking its predicates, and labeling their arguments with the semantic roles that they fill.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N09-2004.txt | Citing Article:  P13-2074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wu and Fung (2009) demonstrated the promise of using features based on semantic predicate argument structure in machine translation, using these feature to re-rank machine translation output.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The first pass is performed using a conventional phrase-based SMT model.</S><S sid = NA ssid = NA>The first pass is performed using a conventional phrase-based SMT model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N09-2004.txt | Citing Article:  W11-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wu and Fung (2009) developed a framework to reorder the output using information from both the source and the target SRL labels.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to exploit automatic semantic parsers to identify inconsistent semantic frame and role mappings between the input source sentences and their output translations.</S><S sid = NA ssid = NA>But whereas Ueffing et al. take the output from a first-pass rulebased MT system, and then correct it using a second-pass SMT system, our two-pass semantic SMT model does the reverse: it takes the output from a first-pass SMT system, and then corrects it with the aid of semantic analyzers.</S> | Discourse Facet:  NA | Annotator: Automatic


