Citance Number: 1 | Reference Article:  W07-1401.txt | Citing Article:  C08-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This type of reasoning has been identified as a core semantic inference paradigm by the generic Textual Entailment framework (Giampiccolo et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>By separating out the general problem of textual entailment from these task-specific problems, progress on semantic inference for many application areas can be promoted.</S><S sid = NA ssid = NA>For example, in addition to textual entailment, QA systems need to handle issues such as answer retrieval and question type recognition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W07-1401.txt | Citing Article:  P12-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The task of recognizing textual entailment is to decide whether the hypothesis sentence can be entailed by the premise sentence (Giampiccolo et al,2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Third PASCAL Recognizing Textual Entailment Challenge</S><S sid = NA ssid = NA>§ The hypothesis must be fully entailed by the text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W07-1401.txt | Citing Article:  P12-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recognizing textual entailment is to determine whether a sentence (sometimes a short paragraph) can entail the other sentence (Giampiccolo et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Third PASCAL Recognizing Textual Entailment Challenge</S><S sid = NA ssid = NA>Then they picked sentence pairs with high lexical overlap, preferably where at least one of the sentences was taken from the summary (this sentence usually played the role of t).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W07-1401.txt | Citing Article:  E09-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The average accuracy of the systems in the RTE-3 challenge is around 61% (Giampiccolo et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As for the LONG pairs, which represented a new element of this year’s challenge, no substantial difference was noted in the systems’ performances: the average accuracy over the long pairs was 58.72%, compared to 61.93% over the short ones.</S><S sid = NA ssid = NA>In fact, the average accuracy achieved in the QA setting (0.71) was 20 points higher than that achieved in the IE setting (0.52); the average accuracy in the IR and Sum settings was 0.66 and 0.58 respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W07-1401.txt | Citing Article:  P10-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Of course, if examples were also annotated with explanations in a consistent format, this could form the basis of a new evaluation of the kind essayed in the pilot study in (Giampiccolo et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Adams et al.).</S><S sid = NA ssid = NA>Burchardt et al. ), Verbnet (Bobrow et al.) and Propbank (e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


