Citance Number: 1 | Reference Article:  D08-1014.txt | Citing Article:  P14-2063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Banea et al (2008) demonstrate that machine translation can perform quite well when extending the subjectivity analysis to multilingual environment, which makes it inspiring to replicate their work on lexicon-based sentiment analysis.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Multilingual Subjectivity Analysis Using Machine Translation</S><S sid = NA ssid = NA>Much of the work in subjectivity analysis has been applied to English data, though work on other languages is growing: e.g., Japanese data are used in (Kobayashi et al., 2004; Suzuki et al., 2006; Takamura et al., 2006; Kanayama and Nasukawa, 2006), Chinese data are used in (Hu et al., 2005), and German data are used in (Kim and Hovy, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D08-1014.txt | Citing Article:  P10-3005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Banea et al (2008) use machine translation for multilingual sentiment analysis.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Multilingual Subjectivity Analysis Using Machine Translation</S><S sid = NA ssid = NA>In this paper, we explored the use of machine translation for creating resources and tools for subjectivity analysis in other languages, by leveraging on the resources available in English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D08-1014.txt | Citing Article:  W11-1704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Another approach in obtaining subjectivity lexicons for other languages than English was explored in Banea et al (2008b).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we explored the use of machine translation for creating resources and tools for subjectivity analysis in other languages, by leveraging on the resources available in English.</S><S sid = NA ssid = NA>Much of the work in subjectivity analysis has been applied to English data, though work on other languages is growing: e.g., Japanese data are used in (Kobayashi et al., 2004; Suzuki et al., 2006; Takamura et al., 2006; Kanayama and Nasukawa, 2006), Chinese data are used in (Hu et al., 2005), and German data are used in (Kim and Hovy, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D08-1014.txt | Citing Article:  W11-1704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was partially supported by a National Science Foundation grant IIS#0840608.</S><S sid = NA ssid = NA>The two annotators reached consensus on all sentences for which they disagreed, resulting in a gold standard dataset with 272 (54%) subjective sentences and 232 (46%) objective sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


