Citance Number: 1 | Reference Article:  A97-1004.txt | Citing Article:  P02-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >finding sentence boundaries (Reynar and Ratnaparkhi, 1997).</S> | Reference Offset:  ['0','35'] | Reference Text:  <S sid = 0 ssid = >A Maximum Entropy Approach To Identifying Sentence Boundaries</S><S sid = 35 ssid = >We present two systems for identifying sentence boundaries.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A97-1004.txt | Citing Article:  D12-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This data was sentence-segmented using MxTerminator (Reynar and Ratnaparkhi, 1997) and parsed with the Stanford Parser (Klein and Manning, 2003).</S> | Reference Offset:  ['56','61'] | Reference Text:  <S sid = 56 ssid = >The parameters are chosen to maximize the likelihood of the training data, using the Generalized Iterative Scaling (Darroch and Ratcliff, 1972) algorithm.</S><S sid = 61 ssid = >We corrected punctuation mistakes and erroneous sentence boundaries in the training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A97-1004.txt | Citing Article:  W04-3210.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We trained a publicly available sentence splitter (Reynar and Ratnaparkhi, 1997) on a small manually annotated sample (1,000 sentences per domain per language) and applied it to our corpora.</S> | Reference Offset:  ['7','70'] | Reference Text:  <S sid = 7 ssid = >Many freely available natural language processing tools require their input to be divided into sentences, but make no mention of how to accomplish this (e.g.</S><S sid = 70 ssid = >Since 39441 training sentences is considerably more than might exist in a new domain or a language other than English, we experimented with the quantity of training data required to maintain performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A97-1004.txt | Citing Article:  D07-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also used MXTerminator (Reynar and Ratnaparkhi, 1997) for sentence segmentation, MINIPAR (Lin, 1993) for lemmatization and dependency parsing, and MATLAB3 for SVD computation.</S> | Reference Offset:  ['12','48'] | Reference Text:  <S sid = 12 ssid = >However, these punctuation marks are not used exclusively to mark sentence breaks.</S><S sid = 48 ssid = >The model used here for sentence-boundary detection is based on the maximum entropy model used for POS tagging in (Ratna.parkhi, 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  A97-1004.txt | Citing Article:  P12-2049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sentence segmentation Off-the-shelf sentence segmentators tend to be trained on newswire texts (Reynar and Ratnaparkhi, 1997), which significantly differ from the noisy text in our corpus.</S> | Reference Offset:  ['66','74'] | Reference Text:  <S sid = 66 ssid = >Performance on the WSJ corpus was, as we expected, higher than performance on the Brown corpus since we trained the model on financial newspaper text.</S><S sid = 74 ssid = >For example, Riley's performance on the Brown corpus is higher than ours, but his system is trained on the Brown corpus and uses thirty times as much data as our system.</S> | Discourse Facet:  NA | Annotator: Automatic


