System_Name,Filename,Precision_Task_1a,Recall_Task_1a,F1_Score_Task_1a,Precision_Task_1b,Recall_Task_1b,F1_Score_Task_1b
System10$run1_one_line,P05-1004,0.0,0.0,NA,NA,0.0,NA
System10$run1_one_line,P98-2143,0.009146341463414634,0.03225806451612903,0.014251781472684086,0.75,0.045454545454545456,0.08571428571428572
System10$run1_one_line,C00-2123,0.00684931506849315,0.041666666666666664,0.011764705882352941,1.0,0.045454545454545456,0.08695652173913045
System10$run1_one_line,N06-2049,0.05555555555555555,0.22857142857142856,0.08938547486033518,1.0,0.32,0.48484848484848486
System10$run1_one_line,C04-1089,0.005434782608695652,0.05263157894736842,0.009852216748768475,1.0,0.04,0.07692307692307693
System10$run1_one_line,P05-1053,0.025936599423631124,0.10227272727272728,0.041379310344827586,0.6,0.0821917808219178,0.14457831325301204
System10$run1_one_line,W03-0410,0.014925373134328358,0.13793103448275862,0.026936026936026935,0.75,0.12,0.20689655172413793
System10$run1_one_line,J96-3004,0.012037037037037037,0.11926605504587157,0.021867115222876366,1.0,0.14084507042253522,0.2469135802469136
System10$run1_one_line,I05-5011,0.0,0.0,NA,NA,0.0,NA
System10$run1_one_line,P98-1046,0.009411764705882352,0.11764705882352941,0.017429193899782133,0.16666666666666666,0.03125,0.05263157894736842
System10$run2_one_line,P05-1004,0.0,0.0,NA,NA,0.0,NA
System10$run2_one_line,P98-2143,0.0,0.0,NA,0.0,0.0,NA
System10$run2_one_line,C00-2123,0.0,0.0,NA,NA,0.0,NA
System10$run2_one_line,N06-2049,0.043478260869565216,0.08571428571428572,0.05769230769230769,1.0,0.12,0.21428571428571425
System10$run2_one_line,C04-1089,0.0,0.0,NA,NA,0.0,NA
System10$run2_one_line,P05-1053,0.04020100502512563,0.09090909090909091,0.05574912891986062,0.5555555555555556,0.0684931506849315,0.1219512195121951
System10$run2_one_line,W03-0410,0.007518796992481203,0.034482758620689655,0.012345679012345678,1.0,0.04,0.07692307692307693
System10$run2_one_line,J96-3004,0.012682926829268294,0.11926605504587157,0.02292768959435626,1.0,0.14084507042253522,0.2469135802469136
System10$run2_one_line,I05-5011,0.0,0.0,NA,NA,0.0,NA
System10$run2_one_line,P98-1046,0.010676156583629894,0.08823529411764706,0.019047619047619046,0.0,0.0,NA
System12$Default,P05-1004,0.047619047619047616,0.14285714285714285,0.07142857142857142,0.0,0.0,NA
System12$Default,P98-2143,0.022598870056497175,0.043010752688172046,0.02962962962962963,0.25,0.015151515151515152,0.028571428571428574
System12$Default,C00-2123,0.016666666666666666,0.041666666666666664,0.023809523809523805,0.0,0.0,NA
System12$Default,N06-2049,0.0,0.0,NA,NA,0.0,NA
System12$Default,C04-1089,0.0196078431372549,0.05263157894736842,0.02857142857142857,1.0,0.04,0.07692307692307693
System12$Default,P05-1053,0.0,0.0,NA,0.0,0.0,NA
System12$Default,W03-0410,0.0,0.0,NA,NA,0.0,NA
System12$Default,J96-3004,0.00966183574879227,0.01834862385321101,0.012658227848101266,0.0,0.0,NA
System12$Default,I05-5011,0.028985507246376812,0.06060606060606061,0.0392156862745098,0.0,0.0,NA
System12$Default,P98-1046,0.0,0.0,NA,NA,0.0,NA
System13$Default,P05-1004,0.0,0.0,NA,NA,0.0,NA
System13$Default,P98-2143,0.1016949152542373,0.06451612903225806,0.07894736842105264,0.8333333333333334,0.07575757575757576,0.1388888888888889
System13$Default,C00-2123,0.05,0.041666666666666664,0.04545454545454545,1.0,0.045454545454545456,0.08695652173913045
System13$Default,N06-2049,0.045454545454545456,0.02857142857142857,0.03508771929824561,0.0,0.0,NA
System13$Default,C04-1089,0.0,0.0,NA,NA,0.0,NA
System13$Default,P05-1053,0.0,0.0,NA,0.0,0.0,NA
System13$Default,W03-0410,0.041666666666666664,0.034482758620689655,0.03773584905660377,1.0,0.04,0.07692307692307693
System13$Default,J96-3004,0.057971014492753624,0.03669724770642202,0.0449438202247191,1.0,0.056338028169014086,0.10666666666666667
System13$Default,I05-5011,0.2,0.15151515151515152,0.17241379310344826,0.25,0.06666666666666667,0.10526315789473685
System13$Default,P98-1046,0.03225806451612903,0.029411764705882353,0.030769230769230767,0.0,0.0,NA
System15$tfidf+st+sl,P05-1004,0.19047619047619047,0.5714285714285714,0.2857142857142857,1.0,0.5714285714285714,0.7272727272727273
System15$tfidf+st+sl,P98-2143,0.10734463276836158,0.20430107526881722,0.14074074074074075,1.0,0.3333333333333333,0.5
System15$tfidf+st+sl,C00-2123,0.05,0.125,0.07142857142857144,1.0,0.18181818181818182,0.3076923076923077
System15$tfidf+st+sl,N06-2049,0.12121212121212122,0.22857142857142856,0.15841584158415842,1.0,0.4,0.5714285714285715
System15$tfidf+st+sl,C04-1089,0.058823529411764705,0.15789473684210525,0.08571428571428572,1.0,0.2,0.33333333333333337
System15$tfidf+st+sl,P05-1053,0.07042253521126761,0.17045454545454544,0.09966777408637874,0.0,0.0,NA
System15$tfidf+st+sl,W03-0410,0.09722222222222222,0.2413793103448276,0.1386138613861386,1.0,0.28,0.43750000000000006
System15$tfidf+st+sl,J96-3004,0.11594202898550725,0.22018348623853212,0.1518987341772152,1.0,0.30985915492957744,0.47311827956989244
System15$tfidf+st+sl,I05-5011,0.11764705882352941,0.24242424242424243,0.15841584158415842,1.0,0.3333333333333333,0.5
System15$tfidf+st+sl,P98-1046,0.03225806451612903,0.08823529411764706,0.047244094488188976,1.0,0.125,0.2222222222222222
System15$Tkern1-1,P05-1004,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-1,P98-2143,0.03954802259887006,0.07526881720430108,0.05185185185185186,1.0,0.15151515151515152,0.2631578947368421
System15$Tkern1-1,C00-2123,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-1,N06-2049,0.030303030303030304,0.05714285714285714,0.039603960396039604,1.0,0.08,0.14814814814814814
System15$Tkern1-1,C04-1089,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-1,P05-1053,0.0,0.0,NA,0.0,0.0,NA
System15$Tkern1-1,W03-0410,0.027777777777777776,0.06896551724137931,0.039603960396039604,1.0,0.12,0.21428571428571425
System15$Tkern1-1,J96-3004,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-1,I05-5011,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-1,P98-1046,0.010752688172043012,0.029411764705882353,0.015748031496062992,1.0,0.03125,0.06060606060606061
System15$Tkern1-1ce,P05-1004,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-1ce,P98-2143,0.03954802259887006,0.07526881720430108,0.05185185185185186,1.0,0.15151515151515152,0.2631578947368421
System15$Tkern1-1ce,C00-2123,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-1ce,N06-2049,0.030303030303030304,0.05714285714285714,0.039603960396039604,1.0,0.08,0.14814814814814814
System15$Tkern1-1ce,C04-1089,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-1ce,P05-1053,0.0,0.0,NA,0.0,0.0,NA
System15$Tkern1-1ce,W03-0410,0.013888888888888888,0.034482758620689655,0.019801980198019802,1.0,0.04,0.07692307692307693
System15$Tkern1-1ce,J96-3004,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-1ce,I05-5011,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-1ce,P98-1046,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-4,P05-1004,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-4,P98-2143,0.03389830508474576,0.06451612903225806,0.044444444444444446,1.0,0.15151515151515152,0.2631578947368421
System15$Tkern1-4,C00-2123,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-4,N06-2049,0.030303030303030304,0.05714285714285714,0.039603960396039604,1.0,0.08,0.14814814814814814
System15$Tkern1-4,C04-1089,0.0196078431372549,0.05263157894736842,0.02857142857142857,1.0,0.04,0.07692307692307693
System15$Tkern1-4,P05-1053,0.0,0.0,NA,0.0,0.0,NA
System15$Tkern1-4,W03-0410,0.027777777777777776,0.06896551724137931,0.039603960396039604,1.0,0.12,0.21428571428571425
System15$Tkern1-4,J96-3004,0.004830917874396135,0.009174311926605505,0.006329113924050633,1.0,0.014084507042253521,0.02777777777777778
System15$Tkern1-4,I05-5011,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-4,P98-1046,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-4ce,P05-1004,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-4ce,P98-2143,0.03954802259887006,0.07526881720430108,0.05185185185185186,1.0,0.15151515151515152,0.2631578947368421
System15$Tkern1-4ce,C00-2123,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-4ce,N06-2049,0.030303030303030304,0.05714285714285714,0.039603960396039604,1.0,0.08,0.14814814814814814
System15$Tkern1-4ce,C04-1089,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-4ce,P05-1053,0.0,0.0,NA,0.0,0.0,NA
System15$Tkern1-4ce,W03-0410,0.013888888888888888,0.034482758620689655,0.019801980198019802,1.0,0.04,0.07692307692307693
System15$Tkern1-4ce,J96-3004,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-4ce,I05-5011,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-4ce,P98-1046,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-8,P05-1004,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-8,P98-2143,0.03954802259887006,0.07526881720430108,0.05185185185185186,1.0,0.15151515151515152,0.2631578947368421
System15$Tkern1-8,C00-2123,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-8,N06-2049,0.030303030303030304,0.05714285714285714,0.039603960396039604,1.0,0.08,0.14814814814814814
System15$Tkern1-8,C04-1089,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-8,P05-1053,0.0,0.0,NA,0.0,0.0,NA
System15$Tkern1-8,W03-0410,0.013888888888888888,0.034482758620689655,0.019801980198019802,1.0,0.04,0.07692307692307693
System15$Tkern1-8,J96-3004,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-8,I05-5011,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-8,P98-1046,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-8ce,P05-1004,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-8ce,P98-2143,0.04519774011299435,0.08602150537634409,0.05925925925925926,1.0,0.18181818181818182,0.3076923076923077
System15$Tkern1-8ce,C00-2123,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-8ce,N06-2049,0.030303030303030304,0.05714285714285714,0.039603960396039604,1.0,0.08,0.14814814814814814
System15$Tkern1-8ce,C04-1089,0.0196078431372549,0.05263157894736842,0.02857142857142857,1.0,0.04,0.07692307692307693
System15$Tkern1-8ce,P05-1053,0.018779342723004695,0.045454545454545456,0.026578073089700994,0.0,0.0,NA
System15$Tkern1-8ce,W03-0410,0.013888888888888888,0.034482758620689655,0.019801980198019802,1.0,0.04,0.07692307692307693
System15$Tkern1-8ce,J96-3004,0.004830917874396135,0.009174311926605505,0.006329113924050633,1.0,0.014084507042253521,0.02777777777777778
System15$Tkern1-8ce,I05-5011,0.0,0.0,NA,NA,0.0,NA
System15$Tkern1-8ce,P98-1046,0.0,0.0,NA,NA,0.0,NA
System16$Default,P05-1004,0.11538461538461539,0.21428571428571427,0.15,0.6666666666666666,0.14285714285714285,0.23529411764705882
System16$Default,P98-2143,0.0660377358490566,0.07526881720430108,0.07035175879396985,0.8333333333333334,0.07575757575757576,0.1388888888888889
