Citance Number: 1 | Reference Article:  D08-1083.txt | Citing Article:  D09-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also thank Eric Breck, Lillian Lee, Mats Rooth, the members of the Cornell NLP reading seminar, and the EMNLP reviewers for insightful comments on the submitted version of the paper.</S><S sid = NA ssid = NA>For brevity, we refer to NEG(1) and NEG(N) collectively as NEG, and NEGEX(1) and NEGEX(N) collectively as NEGEX.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D08-1083.txt | Citing Article:  D09-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Content-word negators are words that are not function words, but act semantically as negators (Choi and Cardie, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the other hand, the NEGEX methods (87.7%) that do consider content-word negators as well as function-word negators perform better than VOTE.</S><S sid = NA ssid = NA>For SC-NEGEX, we count the number of content-word negators as well as function-word negators to determine whether the final polarity should be flipped.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D08-1083.txt | Citing Article:  D09-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also thank Eric Breck, Lillian Lee, Mats Rooth, the members of the Cornell NLP reading seminar, and the EMNLP reviewers for insightful comments on the submitted version of the paper.</S><S sid = NA ssid = NA>For brevity, we refer to NEG(1) and NEG(N) collectively as NEG, and NEGEX(1) and NEGEX(N) collectively as NEGEX.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D08-1083.txt | Citing Article:  D09-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the general-purpose polarity lexicon, we expand the polarity lexicon of Wilson et al (2005) with General Inquirer dictionary as suggested by Choi and Cardie (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also add a number of boolean features that provide following properties of xi using the polarity lexicon and the negator lexicon: – whether xi is a function-word negator – whether xi is a content-word negator – whether xi is a negator of any kind – the polarity of xi according to Wilson et al. (2005)’s polarity lexicon – the polarity of xi according to the lexicon derived from the General Inquirer dictionary – conjunction of the above two features As in the heuristic-based compositional semantics approach (§ 2.2), we experiment with two variations of this learning-based approach: CCI-COMPOPR and CCI-COMPOMC, whose compositional inference rules are COMPOPR and COMPOMC respectively.</S><S sid = NA ssid = NA>However, Wilson et al. (2005) formulated the task differently by limiting their evaluation to individual words that appear in their polarity lexicon.</S> | Discourse Facet:  NA | Annotator: Automatic


