Citance Number: 1 | Reference Article:  J92-1004.txt | Citing Article:  P96-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The parsing model is a probabilistic recursive transition network similar to those described in (Miller et ai. 1994) and (Seneff 1992).</S> | Reference Offset:  ['1','8'] | Reference Text:  <S sid = 1 ssid = >new natural language system, been developed for applications involving spoken tasks. key ideas from context free grammars, Augmented Transition (ATN's), and the unification concept. a seamless interface between syntactic and semantic analysis, and also produces a highly constraining probabilistic language model to improve recognition performance.</S><S sid = 8 ssid = >TINA provides a seamless interface between syntactic and semantic analysis, and also produces a highly constraining probabilistic language model to improve recognition performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J92-1004.txt | Citing Article:  W08-0801.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The resulting N-best hypotheses are processed by the TINA language understanding component (Seneff, 1992).</S> | Reference Offset:  ['0','19'] | Reference Text:  <S sid = 0 ssid = >TINA: A Natural Language System For Spoken Language Applications</S><S sid = 19 ssid = >A spoken language system relies on its natural language component to provide the meaning representation of a given sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J92-1004.txt | Citing Article:  P98-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As another way of bringing contextual information to bear in the process of predicting the meaning the following stochastic models, of unparsed inspired in Miller et al (1994) and Seneff (1992), and collectively referred to as hidden understanding model (HUM), are employed.</S> | Reference Offset:  ['26','276'] | Reference Text:  <S sid = 26 ssid = >If the natural language component's computational and memory requirements are not excessive, and if it is organized in such a way that it can easily predict a set of next-word candidates, then it can be incorporated into the active search process of the recognizer, dynamically predicting possible words to follow a hypothesized word sequence, and pruning away hypotheses that cannot be completed in any way.</S><S sid = 276 ssid = >This approach resembles the work by Grishman et al. (1986) and Hirschman et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J92-1004.txt | Citing Article:  W08-0102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Speech recognition results were parsed by the TINA parser (Seneff, 1992) using a hand-crafted grammar.</S> | Reference Offset:  ['311','318'] | Reference Text:  <S sid = 311 ssid = >The results were essentially the same for the training and the test sentences, as shown in Table 2.</S><S sid = 318 ssid = >Their speech was recorded in a simulation mode in which the speech recognition component was excluded.</S> | Discourse Facet:  NA | Annotator: Automatic


