Citance Number: 1 | Reference Article:  N10-1119.txt | Citing Article:  D11-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent work in this area includes Velikovich et al (2010), who developed a method for automatically deriving an extensive sentiment lexicon from the web as a whole.</S> | Reference Offset:  ['1','17'] | Reference Text:  <S sid = 1 ssid = >We examine the viability of building large polarity lexicons semi-automatically from the web.</S><S sid = 17 ssid = >Towards this end, we provide both a qualitative and quantitative analysis for a web-derived English lexicon relative to two previously published lexicons – the lexicon used in Wilson et al. (2005) and the lexicon used in Blair-Goldensohn et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N10-1119.txt | Citing Article:  D11-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We examine two methods for sentiment detection that of Brody and Elhadad (2010) for detecting sentiment in reviews, and that of Velikovich et al (2010) for finding sentiment terms in a giga-scale web corpus.</S> | Reference Offset:  ['14','60'] | Reference Text:  <S sid = 14 ssid = >Thus, the method we investigate can be seen as a combination of methods for propagating sentiment across lexical graphs and methods for building sentiment lexicons based on distributional characteristics of phrases in raw data (Turney, 2002).</S><S sid = 60 ssid = >In particular, we might see a number of edges between positive and negative sentiment words as well as sentiment words and non-sentiment words, e.g., sentiment adjectives and all other adjectives that are distributionally similar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N10-1119.txt | Citing Article:  D11-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Velikovich et al (2010) constructed a graph where the nodes were 20 million candidate words or phrases, selected using a set of heuristics including frequency and mutual information of word boundaries.</S> | Reference Offset:  ['53','82'] | Reference Text:  <S sid = 53 ssid = >This list was filtered to 20 million candidate phrases using a number of heuristics including frequency and mutual information of word boundaries.</S><S sid = 82 ssid = >We ran the best path graph propagation algorithm over a graph constructed from the web using manually constructed positive and negative seed sets of 187 and 192 words in size, respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N10-1119.txt | Citing Article:  D11-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On the other hand, the method of Velikovich et al (2010) is based on huge amounts of data, and takes advantage of the abundance of contextual information available in full documents, whereas our domain is closer to that of Brody and Elhadad (2010), who dealt with a small number of candidates and short documents typical to online reviews.</S> | Reference Offset:  ['11','54'] | Reference Text:  <S sid = 11 ssid = >In this work we investigate the viability of polarity lexicons that are derived solely from unlabeled web documents.</S><S sid = 54 ssid = >A context vector for each candidate phrase was then constructed based on a window of size six aggregated over all mentions of the phrase in the 4 billion documents.</S> | Discourse Facet:  NA | Annotator: Automatic


