Citance Number: 1 | Reference Article:  P02-1047.txt | Citing Article:  N04-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A similar approach has been advocated for the interpretation of discourse relations by Marcu and Echihabi (2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An Unsupervised Approach To Recognizing Discourse Relations</S><S sid = NA ssid = NA>We present an unsupervised approach to discourse relations of hold between arbitrary spans of texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P02-1047.txt | Citing Article:  N04-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Apart from the fact that we present an alternative model, our work differs from Marcu and Echihabi (2002) in two important ways.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present an unsupervised approach to discourse relations of hold between arbitrary spans of texts.</S><S sid = NA ssid = NA>In spite of the difficulty of determining the discourse relations that hold between arbitrary text spans, it is clear that such an ability is important in many applications.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P02-1047.txt | Citing Article:  D11-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Inspired by Marcu and Echihabi (2002), to construct relatively low noise discourse instances for unsupervised methods using cue phrases, we grouped the 13 relations into the following 5 relations: Contrast is a union of Antithesis, Concession, Otherwise and Contrast from RST.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The advantage of operating with coarsely defined discourse relations is that it enables us to automatically construct relatively low-noise datasets that can be used for learning.</S><S sid = NA ssid = NA>That is, we considered that a CONTRAST relation held between two text spans if a human annotator labeled the relation between those spans as ANTITHESIS, CONCESSION, OTHERWISE or CONTRAST.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P02-1047.txt | Citing Article:  D11-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Cue-phrase-based patterns could find only limited number of discourse instances with high precision (Marcu and Echihabi, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We did this because when trying to determine whether a CONTRAST relation holds between two spans of texts separated by the cue phrase “but”, for example, we want to take advantage of the cue phrase occurrence as well.</S><S sid = NA ssid = NA>Table 2 lists some of the cue phrases we used in order to extract CONTRAST, CAUSEEXPLANATION-EVIDENCE, ELABORATION, and CONDITION relations and the number of examples extracted from the Raw corpus for each type of discourse relation.</S> | Discourse Facet:  NA | Annotator: Automatic


