Citance Number: 1 | Reference Article:  J02-4002.txt | Citing Article:  W03-0505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We pursue a methodology based on Teufel and Moens (2002) where sentences are classified according to their argumentative role.</S> | Reference Offset:  ['437','481'] | Reference Text:  <S sid = 437 ssid = >The system is likely to confuse AIM and OWN sentences (e.g., 100 out of 172 sentences incorrectly classified as AIM by the system turned out to be OWN sentences).</S><S sid = 481 ssid = >Ten out of the 15 extracted sentences have been classified correctly.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J02-4002.txt | Citing Article:  W03-0505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our methodology builds and extends the Teufel and Moens (Teufel and Moens, 2002) approach to automatic summarisation.</S> | Reference Offset:  ['247','291'] | Reference Text:  <S sid = 247 ssid = >Another persistently problematic distinction for our annotators was that between OWN Teufel and Moens Summarizing Scientific Articles and BACKGROUND.</S><S sid = 291 ssid = >We now describe an automatic system that can perform extraction and classification of rhetorical status on unseen text (cf. also a prior version of the system reported in Teufel and Moens [2000] and Teufel [1999]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J02-4002.txt | Citing Article:  P13-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is also similar conceptually to content selection algorithms that have been used for text summarization (Teufel and Moens, 2002) and text generation (Sauper and Barzilay, 2009), both of which rely on finding highly-relevant passages within source texts.</S> | Reference Offset:  ['19','22'] | Reference Text:  <S sid = 19 ssid = >We propose in this article a method for sentence and content selection from source texts that adds context in the form of information about the rhetorical role the extracted material plays in the source text.</S><S sid = 22 ssid = >Summarization of such texts requires a different approach from, for example, that used in the summarization of news articles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J02-4002.txt | Citing Article:  N10-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This approach to summarization was inspired by the process described in (Teufel and Moens, 2002). That work focused on the summarization of scientific articles to describe a new work in a way which rhetorically situates that work's contribution within the context of related prior work.</S> | Reference Offset:  ['22','246'] | Reference Text:  <S sid = 22 ssid = >Summarization of such texts requires a different approach from, for example, that used in the summarization of news articles.</S><S sid = 246 ssid = >With respect to the longer, more neutral zones (intellectual attribution), annotators often had problems in distinguishing OTHER work from OWN work, particularly in cases where the authors did not express a clear distinction between new work and previous own work (which, according to our instructions, should be annotated as OTHER).</S> | Discourse Facet:  NA | Annotator: Automatic


