Citance Number: 1 | Reference Article:  P04-3022.txt | Citing Article:  P07-2040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>They use two kinds of features: syntactic ones and word based ones, for example, the path of the given pair of NEs in the parse tree and the word n-gram between NEs (Kambhatla, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Here is an example.</S><S sid = NA ssid = NA>Dependency (word on which is depedent), (POS of word on which is dependent), (chunk label of word on which is dependent), Parse Tree PERSON-NP-PP-ORGANIZATION, PERSON-NP-PP:of-ORGANIZATION (both derived from the path shown in bold in Figure 1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P04-3022.txt | Citing Article:  P07-2040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Supervised learning method using syntactic and word-based features, the path of the pairs of NEs in the parse tree and the word n gram between pairs of NEs (Kambhatla, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Dependency (word on which is depedent), (POS of word on which is dependent), (chunk label of word on which is dependent), Parse Tree PERSON-NP-PP-ORGANIZATION, PERSON-NP-PP:of-ORGANIZATION (both derived from the path shown in bold in Figure 1).</S><S sid = NA ssid = NA>All the syntactic features are derived from the syntactic parse tree and the dependency tree that we compute using a statistical parser trained on the PennTree Bank using the Maximum Entropy framework (Ratnaparkhi, 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P04-3022.txt | Citing Article:  W06-1659.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The approaches proposed to the ACE RDC task such as kernel methods (Zelenko et al, 2002) and Maximum Entropy methods (Kambhatla, 2004) required the availability of large set of human annotated corpora which are tagged with relation instances.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>More recently, (Zelenko et al., 2003) have proposed extracting relations by computing kernel functions between parse trees and (Culotta and Sorensen, 2004) have extended this work to estimate kernel functions between augmented dependency trees.</S><S sid = NA ssid = NA>The reader is referred to (Florian et al., 2004; Ittycheriah et al., 2003; Luo et al., 2004) for more details of our mention detection and mention chaining modules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P04-3022.txt | Citing Article:  W06-1659.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We compare our results to a state-of-the-art supervised system similar to the system described in (Kambhatla, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We built several models to compare the relative utility of the feature streams described in the previous section.</S><S sid = NA ssid = NA>We trained Maximum Entropy models using features derived from the feature streams described above.</S> | Discourse Facet:  NA | Annotator: Automatic


