Citance Number: 1 | Reference Article:  H01-1035.txt | Citing Article:  W02-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Others have exploited the automatic transfer of some already existing annotated resource in a different medium or language (such as the translingual projection of part-of-speech tags, syntactic bracketing and inflectional morphology in Yarowsky et al (2001), requiring no direct supervision in the foreign language).</S> | Reference Offset:  ['178','212'] | Reference Text:  <S sid = 178 ssid = >for cross-language resource projection.</S><S sid = 212 ssid = >In Armstrong et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  H01-1035.txt | Citing Article:  P14-2095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >That includes approaches such as direct model transfer (Zeman and Resnik, 2008) and annotation projection (Yarowsky et al, 2001).</S> | Reference Offset:  ['6','11'] | Reference Text:  <S sid = 6 ssid = >Simple direct annotation projection is quite noisy, however, even with optimal alignments.</S><S sid = 11 ssid = >Performance also significantly exceeds that obtained by direct annotation projection.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  H01-1035.txt | Citing Article:  W05-0807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, prior work on translingual part-of-speech tagger projection via parallel bilingual corpora (e.g. Yarowsky et al, 2001) has been limited to inducing part-of-speech taggers in second languages (such as French or Czech) that only assign tags at the granularity of their source language (i.e. 49 the Penn Treebank-granularity distinctions from English).</S> | Reference Offset:  ['36','221'] | Reference Text:  <S sid = 36 ssid = >4.1 Part-of-speech Projection Issues First, because of considerable cross-language differences in fine- grained tag set inventories, this work focuses on accurately assign- ing core POS categories (e.g.</S><S sid = 221 ssid = >Inducing multilingual POS taggers and NP Bracketers via robust projection across aligned corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  H01-1035.txt | Citing Article:  W05-0807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Yarowsky et al (2001) performed early work in the cross-lingual projection of part-of-speech tag annotations from English to French and Czech, by way of word-aligned parallel bilingual corpora.</S> | Reference Offset:  ['25','29'] | Reference Text:  <S sid = 25 ssid = >All corpora were automatically word-aligned by the now publicly available EGYPT system (Al-Onaizan et al., 1999), based on IBM?s Model 3 statistical MT formalism (Brown et al., 1990).</S><S sid = 29 ssid = >The goal of this work is to project POS analysis capabil- ities from one language to another via word-aligned parallel bilin- gual corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  H01-1035.txt | Citing Article:  W05-0807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our cross-lingual POS tag projection process is similar to Yarowsky et al (2001).</S> | Reference Offset:  ['178','212'] | Reference Text:  <S sid = 178 ssid = >for cross-language resource projection.</S><S sid = 212 ssid = >In Armstrong et al.</S> | Discourse Facet:  NA | Annotator: Automatic


