Citance Number: 1 | Reference Article:  P05-1047.txt | Citing Article:  W06-2501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It has also been shown that these techniques prove useful for tasks such as word sense disambiguation (Patwardhan et al, 2003), real-word spelling correction (Budanitsky and Hirst, 2001) and information extraction (Stevenson and Greenwood, 2005), among others.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>of all possible WordNet senses for word w): Patwardhan et al. (2003) convert this distance metric into a similarity measure by taking its multiplicative inverse.</S><S sid = NA ssid = NA>This approach has been shown to successfully acquire useful extraction patterns which, when added to an IE system, improved its performance (Yangarber et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-1047.txt | Citing Article:  E06-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are also grateful for the detailed comments provided by the anonymous reviewers of this paper.</S><S sid = NA ssid = NA>As mentioned above, the second part of a pattern element-filler pair can be either a lexical item or a semantic category, such as company.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-1047.txt | Citing Article:  E06-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Stevenson and Greenwood (2005) evaluated their method through document and sentence filtering at the scenario level.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Adding the supplementary corpus to the data set used by the document-centric approach led to an improvement of around 15% on the document filtering task and over 70% for sentence filtering.</S><S sid = NA ssid = NA>Soderland (1999) developed a version of the MUC-6 corpus in which events are marked at the sentence level.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-1047.txt | Citing Article:  W06-0207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Many of the adaptive IE systems rely on the existing part-of-speech (POS) taggers (Debnath and Giles, 2005) and/or syntactic parsers (Stevenson and Greenwood, 2005) for analysing and annotating text corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This evaluation is similar to the “text-filtering” sub-task used in the sixth Message Understanding Conference (MUC-6) (1995) in which systems were evaluated according to their ability to identify the documents relevant to the extraction task.</S><S sid = NA ssid = NA>We begin by describing the general process of pattern induction and an existing approach, based on the distribution of patterns in a corpus (Section 2).</S> | Discourse Facet:  NA | Annotator: Automatic


