Citance Number: 2 | Reference Article:  P98-1081.xml | Citing Article:  W01-0712.xml | Citation Marker Offset:  ['130'] | Citation Marker:  van Halteren et al., 1998 | Citation Offset:  ['130'] | Citation Text:  <S sid ="130" ssid = "116">And .nally, TAGPAIR uses classi.cation pair weights based on the probability of a classi.cation for some predicted classi.cation pair (van Halteren et al., 1998).</S> | Reference Offset:  ['116', '117'] | Reference Text:  <S sid ="116" ssid = "37">A next step is to examine them in pairs.</S><S sid ="117" ssid = "38">We can investigate all situations where one tagger suggests T1 and the other T2 and estimate the probability that in this situation the tag should actually be Tx.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 3 | Reference Article:  P98-1081.xml | Citing Article:  W01-0712.xml | Citation Marker Offset:  ['135'] | Citation Marker:  1998 | Citation Offset:  ['134','135'] | Citation Text:  <S sid ="134" ssid = "120">Like Van Halteren et al.</S><S sid ="135" ssid = "121">(1998), we evaluated two features combinations.</S> | Reference Offset:  ['80', '89'] | Reference Text:  <S sid ="80" ssid = "1">In order to see whether combination of the component tuggers is likely to lead to improvements of tagging quality, we first examine the results of the individual taggers when applied to Tune.</S><S sid ="89" ssid = "10">We accept that we are measuring quality in relation to a specific tagging</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 5 | Reference Article:  P98-1081.xml | Citing Article:  W02-1004.xml | Citation Marker Offset:  ['105'] | Citation Marker:  1998 | Citation Offset:  ['105','106','107','108','109','110','111'] | Citation Text:  <S sid ="105" ssid = "48">Van Halteren et al.</S><S sid ="106" ssid = "49">(1998) introduce a modi.ed version of voting called TagPair.</S><S sid ="107" ssid = "50">Under this model, the conditional probability that the word sense is s given that classi.er ioutputs sand classi.er jout­puts s2, P(sls i(xd)=ss j(xd)=s2), is com­puted on development data, and the posterior prob­ability is estimated as N P(slx,d)eÆ(s,sAk(x,d))+Æ(s,sA j(x,d)) (7) k..</S><S sid ="108" ssid = "51">j where sc;,j(xfd)=argmaxtP(tlsc;(xfd)fscj(xfd)).</S><S sid ="109" ssid = "52">Each classi.er votes for its classi.cation and every pair of classi.ers votes for the sense that is most likely given the joint classi.cation.</S><S sid ="110" ssid = "53">In the experi­ments presented in van Halteren et al.</S><S sid ="111" ssid = "54">(1998), this method was the best performer among the presented methods.</S> | Reference Offset:  ['116','117','124'] | Reference Text:  <S sid ="116" ssid = "37">A next step is to examine them in pairs.</S><S sid ="117" ssid = "38">We can investigate all situations where one tagger suggests T1 and the other T2 and estimate the probability that in this situation the tag should actually be Tx.</S><S sid ="124" ssid = "45">When used on Test, the pairwise voting strategy (TagPair) clearly outperforms the other voting strategies, 8 but does not yet approach the level where all tying majority votes are handled correctly (98.31%).</S> | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 7 | Reference Article:  P98-1081.xml | Citing Article:  E99-1025.xml | Citation Marker Offset:  ['118'] | Citation Marker:  1998 | Citation Offset:  ['117','118'] | Citation Text:  <S sid ="117" ssid = "73">We consider three voting strategies suggested by van Halteren et al.</S><S sid ="118" ssid = "74">(1998): equal vote, where each classifier&apos;s vote is weighted equally, overall accuracy, where the weight depends on the overall accuracy of a classifier, and pair&apos;wise voting.</S> | Reference Offset:  ['100', '102', '116', '118'] | Reference Text:  <S sid ="100" ssid = "21">The most democratic option is to give each tagger one vote (Majority).</S><S sid ="102" ssid = "23">This can be general quality, e.g. each tagger votes its overall precision (TotPrecision), or quality in relation to the current situation, e.g. each tagger votes its precision on the suggested tag (Tag- Precision).</S><S sid ="116" ssid = "37">A next step is to examine them in pairs.</S><S sid ="118" ssid = "39">When combining the taggers, every tagger pair is taken in turn and allowed to vote (with the probability described above) for each possible tag, i.e. not just the ones suggested by the component taggers.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |

