Citance Number: 1 | Reference Article:  P98-1012.txt | Citing Article:  W03-0405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Biographic Data Past work on this task (e.g. Bagga and Baldwin, 1998) has primarily approached personal name disambiguation using document context profiles or vectors, which recognize and distinguish identical name instances based on partially indicative words in context such as computer or car in the Clark case.</S> | Reference Offset:  ['0','71'] | Reference Text:  <S sid = 0 ssid = >Entity-Based Cross-Document Core f erencing Using the Vector Space Model</S><S sid = 71 ssid = >While the (Vilain 95) provides intuitive results for coreference scoring, it however does not work as well in the context of evaluating cross document coreference.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P98-1012.txt | Citing Article:  W11-2213.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some refer to the task as cross-document co reference resolution (Bagga and Baldwin, 1998), name discrimination (Pedersen et al, 2005) or Web People Search (WebPS) (Artiles et al, 2007).</S> | Reference Offset:  ['3','10'] | Reference Text:  <S sid = 3 ssid = >In this paper we describe a cross-document coreference resolution algorithm which uses the Vector Space Model to resolve ambiguities between people having the same name.</S><S sid = 10 ssid = >In this paper we describe a highly successful crossdocument coreference resolution algorithm which uses the Vector Space Model to resolve ambiguities between people having the same name.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P98-1012.txt | Citing Article:  P05-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In our experiments, we use the training texts to acquire co reference classifiers and evaluate the resulting systems on the test texts with respect to two commonly-used co reference scoring programs: the MUC scorer (Vilain et al, 1995) and the B-CUBED scorer (Bagga and Baldwin, 1998).</S> | Reference Offset:  ['60','87'] | Reference Text:  <S sid = 60 ssid = >The first was the standard algorithm for within-document coreference chains which was used for the evaluation of the systems participating in the MUC-6 and the MUC-7 coreference tasks.</S><S sid = 87 ssid = >This distinction is not reflected in the (Vilain 95) scorer which scores both responses as having a precision score of 90% (Figure 9).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P98-1012.txt | Citing Article:  P06-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Four-fold cross validation is employed and B-CUBED metric (Bagga and Baldwin, 1998) is adopted to evaluate the clustering results.</S> | Reference Offset:  ['71','102'] | Reference Text:  <S sid = 71 ssid = >While the (Vilain 95) provides intuitive results for coreference scoring, it however does not work as well in the context of evaluating cross document coreference.</S><S sid = 102 ssid = >Further details about the B-CUBED algorithm including a model theoretic version of the algorithm can be found in (Bagga 98a).</S> | Discourse Facet:  NA | Annotator: Automatic


