Citance Number: 1 | Reference Article:  P99-1069.txt | Citing Article:  P00-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In previous work on log-linear models for LFG by Johnson et al (1999), pseudo likelihood estimation from annotated corpora has been introduced and experimented with on a small scale.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Log-linear models are models in which the log probability is a linear combination of feature values (plus a constant).</S><S sid = NA ssid = NA>The problem of estimating parameters for log-linear models is not new.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P99-1069.txt | Citing Article:  P00-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The basic properties employed in our models are similar to the properties of Johnson et al (1999) which incorporate general linguistic principles into a log-linear model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 1 summarizes the basic properties of these corpora.</S><S sid = NA ssid = NA>Table 2 describes the properties of the features used for each corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P99-1069.txt | Citing Article:  P00-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The most direct points of comparison of our method are the approaches of Johnson et al (1999) and Johnson and Riezler (2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is especially difficult in cases, such as ours, where a large sample space makes the direct computation of expectations infeasible.</S><S sid = NA ssid = NA>In our experiments, we have used a conjugate-gradient optimization program adapted from the one presented in Press et al. (1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P99-1069.txt | Citing Article:  D11-1148.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For these we use the 13 feature schemas described in Charniak and Johnson (2005), which were inspired by earlier work in discriminative estimation techniques, such as Johnson et al (1999) and Collins (2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We had the most success with a slightly modified version of the simulated annealing optimizer described in Press et al. (1992).</S><S sid = NA ssid = NA>Because slightly different grammars were used for each corpus we chose not to combine the two corpora, although we used the set of features described in section 2 for both in the experiments described below.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P99-1069.txt | Citing Article:  P04-1086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To overcome this problem, we penalize the objective function by adding a Gaussian prior (a term proportional to the squared norm as suggested in (Johnson et al, 1999)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is an instance of over fitting, and it can be addressed, as is customary, by adding a regularization term that promotes small values of 0 to the objective function.</S><S sid = NA ssid = NA>This suggests another possible objective function: choose 0 to maximize the number Co (c3) of times the maximum likelihood parse (under 0) is in fact the correct parse, in the training corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


