Citance Number: 1 | Reference Article:  H05-2018.txt | Citing Article:  P12-2013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use OpinionFinder (Wilson et al, 2005) which employs negative and positive polarity cues.</S> | Reference Offset:  ['39','44'] | Reference Text:  <S sid = 39 ssid = >2.3.4 Sentiment Expression Classification The final component uses two classifiers to iden- tify words contained in phrases that express pos- itive or negative sentiments (Wilson et al., 2005).</S><S sid = 44 ssid = >3 Related Work Please see (Wiebe and Riloff, 2005; Choi et al., 2005; Wilson et al., 2005) for discussions of related work in automatic opinion and sentiment analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  H05-2018.txt | Citing Article:  P14-1145.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['70','71'] | Reference Text:  <S sid = 70 ssid = >F. Xia and M. Palmer.</S><S sid = 71 ssid = >Converting dependency structures to phrase structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  H05-2018.txt | Citing Article:  P14-1145.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sentiment lexicons such as SentiWordNet (Baccianella et al (2010)) and OpinionFinder (Wilson et al (2005a)) show low agreement rate with human, which is somewhat as expected: human judges in this study are labeling for subtle connotation, not for more explicit sentiment.</S> | Reference Offset:  ['39','44'] | Reference Text:  <S sid = 39 ssid = >2.3.4 Sentiment Expression Classification The final component uses two classifiers to iden- tify words contained in phrases that express pos- itive or negative sentiments (Wilson et al., 2005).</S><S sid = 44 ssid = >3 Related Work Please see (Wiebe and Riloff, 2005; Choi et al., 2005; Wilson et al., 2005) for discussions of related work in automatic opinion and sentiment analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  H05-2018.txt | Citing Article:  P12-3023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Opinionfinder (Wilson et al, 2005) is a system for mining opinions from text.</S> | Reference Offset:  ['8','44'] | Reference Text:  <S sid = 8 ssid = >To answer these types of questions, a system needs to be able to identify when opinions are expressed in text and who is expressing them.</S><S sid = 44 ssid = >3 Related Work Please see (Wiebe and Riloff, 2005; Choi et al., 2005; Wilson et al., 2005) for discussions of related work in automatic opinion and sentiment analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


