Citance Number: 1 | Reference Article:  W96-0214.txt | Citing Article:  W96-0111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In Goodman (1996), an efficient parsing strategy is given that maximizes the expected number of correct constituents.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We solve the second problem by a novel deterministic parsing strategy that maximizes the expected number of correct constituents, rather than the probability of a correct parse tree.</S><S sid = NA ssid = NA>Next, we present an algorithm for parsing, which returns the parse that is expected to have the largest number of correct constituents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W96-0214.txt | Citing Article:  W96-0111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research also shows the importance of testing on more than one small test set, as well as the importance of not making cross-corpus comparisons; if a new corpus is required, then previous algorithms should be duplicated for comparison.</S><S sid = NA ssid = NA>The construction is as follows.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W96-0214.txt | Citing Article:  W96-0111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Although Sima'an (1996) and Goodman (1996) also report experiments on unedited ATIS trees, their results do not refer to the most probable parse but to the most probable derivation and the maximum constituents parse respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>First, one can find the most probable derivation.</S><S sid = NA ssid = NA>This parse tree is most probable.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W96-0214.txt | Citing Article:  W12-1904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This does not scale well to large treebanks, forcing the use of implicit representations (Goodman, 1996) or heuristic subsets (Bod, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In other words, rather than using the large, explicit STSG, we can use this small PCFG that generates isomorphic derivations, with identical probabilities.</S><S sid = NA ssid = NA>Unlike a PCFG, the use of trees allows capturing large contexts, making the model more sensitive.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W96-0214.txt | Citing Article:  P09-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Indeed, our methods were inspired by past work on variational decoding for DOP (Goodman, 1996) and for latent-variable parsing (Matsuzaki et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Efficient Algorithms For Parsing The DOP Model</S><S sid = NA ssid = NA>Ten data sets were constructed by randomly splitting minimally edited ATIS (Hemphill et al., 1990) sentences into a 700 sentence training set, and 88 sentence test set, then discarding sentences of length > 30.</S> | Discourse Facet:  NA | Annotator: Automatic


