Citance Number: 1 | Reference Article:  P08-1114.txt | Citing Article:  D08-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In Marton and Resnik (2008), hiero variables were disambiguated with additional binary feature functions, with their weights optimized in standard MER training.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Each Ai is a weight associated with feature Oi, and these weights are typically optimized using minimum error rate training (Och, 2003).</S><S sid = NA ssid = NA>Second, the Chiang (2005) constituency feature gives a rule additional credit when the rule’s source side overlaps exactly with a source-side syntactic constituent.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1114.txt | Citing Article:  P14-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our stronger baseline employs, in addition, the fine-grained syntactic soft constraint features of Marton and Resnik (2008), here after MR08.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In addition to the baseline condition, and baseline plus Chiang’s (2005) original constituency feature, experimental conditions augmented the baseline with additional features as described in Section 3.</S><S sid = NA ssid = NA>In Section 3, we suggest that an insufficiently fine-grained view of constituency constraints was responsible for Chiang’s lack of strong results, and introduce finer grained constraints into the model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1114.txt | Citing Article:  P14-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Marton and Resnik (2008) employed soft syntactic constraints with weighted binary features and no MaxEnt model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Soft Syntactic Constraints for Hierarchical Phrased-Based Translation</S><S sid = NA ssid = NA>Formally, Hiero’s translation model is a weighted synchronous contextfree grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1114.txt | Citing Article:  C10-2086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Marton and Resnik (2008) utilize the language linguistic analysis that is derived from parse tree to constrain the translation in a soft way.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Chiang (2005) distinguishes statistical MT approaches that are “syntactic” in a formal sense, going beyond the finite-state underpinnings of phrasebased models, from approaches that are syntactic in a linguistic sense, i.e. taking advantage of a priori language knowledge in the form of annotations derived from human linguistic analysis or treebanking.'</S><S sid = NA ssid = NA>Finding the right way to balance linguistic analysis with unconstrained data-driven modeling is clearly a key challenge.</S> | Discourse Facet:  NA | Annotator: Automatic


