Citance Number: 1 | Reference Article:  A92-1018.txt | Citing Article:  A94-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The two systems we use are ENGCG (Karlsson et al, 1994) and the Xerox Tagger (Cutting et al, 1992).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In support of this and other work, we have developed a system architecture for text access [Cutting et al., 1991].</S><S sid = NA ssid = NA>Probabalistic predictions of a word's category can be made by analyzing suffixes in untagged text [Kupiec, 1992, Meteer et al., 1991].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A92-1018.txt | Citing Article:  A94-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Xerox Tagger 1, XT, (Cutting et al, 1992) is a statistical tagger made by Doug Cutting, Julian Kupiec, Jan Pedersen and Penelope Sibun in Xerox PARC.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In support of this and other work, we have developed a system architecture for text access [Cutting et al., 1991].</S><S sid = NA ssid = NA>Statistical methods have also been used (e.g., [DeRose, 1988], [Garside et al., 1987]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A92-1018.txt | Citing Article:  I08-3015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There are many POS taggers developed using different techniques for many major languages such as transformation-based error-driven learning (Brill, 1995), decision trees (Black et al, 1992), Markov model (Cutting et al, 1992), maximum entropy methods (Ratnaparkhi, 1996) etc for English.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In support of this and other work, we have developed a system architecture for text access [Cutting et al., 1991].</S><S sid = NA ssid = NA>Statistical methods have also been used (e.g., [DeRose, 1988], [Garside et al., 1987]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A92-1018.txt | Citing Article:  W04-3112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The initial phase relies on a parser that draws on the SPECIALIST Lexicon (McCray et al 1994) and the Xerox Part-of-Speech Tagger (Cutting et al 1992) to produce an underspecified categorial analysis.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In support of this and other work, we have developed a system architecture for text access [Cutting et al., 1991].</S><S sid = NA ssid = NA>The part-of-speech tagger described here is implemented as an analysis module.</S> | Discourse Facet:  NA | Annotator: Automatic


