Citance Number: 1 | Reference Article:  P10-1142.txt | Citing Article:  W11-1912.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As recently discussed in (Ng, 2010), the so called mention-pair model suffers from several design flaws which originate from the locally confined perspective of the model: Generation of (transitively) redundant pairs, as the formation of co reference sets (co reference clustering) is done after pairwise classification.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>From a learning perspective, a two-step approach to coreference — classification and clustering — is undesirable.</S><S sid = NA ssid = NA>The entity-mention model addresses the expressiveness problem with the mention-pair model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P10-1142.txt | Citing Article:  W11-1912.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Ng, 2010) discusses the entity-mention model which operates on emerging co reference sets to create features describing the relation of an anaphor candidate and established co reference sets.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The entity-mention model addresses the expressiveness problem with the mention-pair model.</S><S sid = NA ssid = NA>This model is commonly known as the entity-mention model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P10-1142.txt | Citing Article:  P14-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This shortcoming has been addressed by entity-mention models, which relate a candidate mention to the full cluster of mentions predicted to be co referent so far (for more discussion on the model types, see, e.g., (Ng, 2010)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Below we discuss how these weaknesses are addressed by the entity-mention model and ranking models.</S><S sid = NA ssid = NA>The entity-mention model addresses the expressiveness problem with the mention-pair model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P10-1142.txt | Citing Article:  W11-1901.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A better idea of the progress in the field can be obtained by reading recent survey articles (Ng, 2010) and tutorials (Ponzetto and Poesio, 2009) dedicated to this subject.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Note that several leading coreference researchers have published books (e.g., Mitkov (2002)), written survey articles (e.g., Mitkov (1999), Strube (2009)), and delivered tutorials (e.g., Strube (2002), Ponzetto and Poesio (2009)) that provide a broad overview of coreference research.</S><S sid = NA ssid = NA>It would be interesting to incorporate this idea into a learning-based resolver.</S> | Discourse Facet:  NA | Annotator: Automatic


