Citance Number: 1 | Reference Article:  N09-1037.txt | Citing Article:  P10-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Compared with the disappointing results of joint learning on syntactic and semantic parsing, Miller et al (2000) and Finkel and Manning (2009) showed the effectiveness of joint learning on syntactic parsing and some simple NLP tasks, such as information extraction and name entity recognition.</S> | Reference Offset:  ['0','167'] | Reference Text:  <S sid = 0 ssid = >Joint Parsing and Named Entity Recognition</S><S sid = 167 ssid = >Most work on joint parsing and semantic role labeling (SRL) has been disappointing, despite obvious connections between the two tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N09-1037.txt | Citing Article:  P10-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We built a joint model of parsing and named entity recognition (Finkel and Manning, 2009b), which had small gains on parse performance and moderate gains on named entity performance, when compared with single-task models trained on the same data.</S> | Reference Offset:  ['0','175'] | Reference Text:  <S sid = 0 ssid = >Joint Parsing and Named Entity Recognition</S><S sid = 175 ssid = >We presented a discriminatively trained joint model of parsing and named entity recognition, which improved performance on both tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N09-1037.txt | Citing Article:  P10-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['67','181'] | Reference Text:  <S sid = 67 ssid = >It would be computationally infeasible to allow any word to have any part of speech tag.</S><S sid = 181 ssid = >We also wish to thank the creators of OntoNotes, without which this project would not have been possible.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N09-1037.txt | Citing Article:  P10-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our base joint model for parsing and named entity recognition is the same as (Finkel and Manning, 2009b), which is also based on the discriminative parser discussed in the previous section.</S> | Reference Offset:  ['0','3'] | Reference Text:  <S sid = 0 ssid = >Joint Parsing and Named Entity Recognition</S><S sid = 3 ssid = >We begin to address this problem with a joint model of parsing and named entity recognition, based on a discriminative feature-based constituency parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N09-1037.txt | Citing Article:  P10-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our baseline experiments were modeled after those in (Finkel and Manning, 2009b), and while our results were not identical (we updated to a newer release of the data), we had similar results and found the same general trends with respect to how the joint model improved on the single models.</S> | Reference Offset:  ['15','133'] | Reference Text:  <S sid = 15 ssid = >Despite these earlier results, we found that combining parsing and named entity recognition modestly improved performance on both tasks.</S><S sid = 133 ssid = >The full results can be found in Table 2.</S> | Discourse Facet:  NA | Annotator: Automatic


