Citance Number: 1 | Reference Article:  W05-0904.txt | Citing Article:  P06-2003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Inspired in the work by Liu and Gildea (2005), who introduced a series of metrics based on con stituent/dependency syntactic matching, we have designed three subgroups of syntactic similarity metrics.</S> | Reference Offset:  ['30','127'] | Reference Text:  <S sid = 30 ssid = >However, if we evaluate their fluency based on the syntactic similarity with the reference, we will get our desired results.</S><S sid = 127 ssid = >The syntactic metrics, except the kernel based ones, all outperform BLEU in sentence-level fluency evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W05-0904.txt | Citing Article:  P14-2124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Owczarzak et al (2007a, b) improved correlation with human fluency judgments by using LFG to extend the approach of evaluating syn tactic dependency structure similarity proposed by Liu and Gildea (2005), but did not achieve higher correlation with human adequacy judgments than metrics like METEOR.</S> | Reference Offset:  ['92','128'] | Reference Text:  <S sid = 92 ssid = >The results show that in both systems our syntactic metrics all achieve a better performance in the correlation with human judgments of fluency.</S><S sid = 128 ssid = >For the overall evaluation of sentences for fluency and adequacy, the metric based on headword chain performs better than BLEU in both sentencelevel and corpus-level correlation with human judgments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W05-0904.txt | Citing Article:  W12-3117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Liu and Gildea (2005) measure the syntactic similarity between MT output and reference translation.</S> | Reference Offset:  ['1','2'] | Reference Text:  <S sid = 1 ssid = >Automatic evaluation of machine translabased on computing similarity between system output and human reference translations, has revolutionized the development of MT systems.</S><S sid = 2 ssid = >We explore the use of syntactic information, including constituent labels and head-modifier dependencies, in computing similarity between output and reference.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W05-0904.txt | Citing Article:  W07-0738.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similarities are captured from different viewpoints: DP-HWC (i) -l This metric corresponds to the HWC metric presented by Liu and Gildea (2005).</S> | Reference Offset:  ['25','75'] | Reference Text:  <S sid = 25 ssid = >For example, in the BLEU metric, the overlapping fractions of n-grams with more than one word are considered as a kind of metric for the fluency of the hypothesis.</S><S sid = 75 ssid = >For this reason, the two methods described in section 3.1 are used to compute the similarity of dependency trees between the MT hypothesis and its references, and the corresponding metrics are denoted DSTM for dependency subtree metric and DTKM for dependency tree kernel metric.</S> | Discourse Facet:  NA | Annotator: Automatic


