Citance Number: 1 | Reference Article:  P09-1026.txt | Citing Article:  W10-0214.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following (Somasundaran and Wiebe, 2009), stance, as used in this work, refers to an overall position held by a person toward an object, idea or proposition.</S> | Reference Offset:  ['5','50'] | Reference Text:  <S sid = 5 ssid = >This paper presents a method for debate-side classification, i.e., recognizing which stance a person is taking in an online debate posting.</S><S sid = 50 ssid = >And, if the writer values that aspect, it will influence his or her overall stance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P09-1026.txt | Citing Article:  W10-0214.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our work is also different from related work in the domain of product debates (Somasundaran and Wiebe, 2009) in terms of the methodology.</S> | Reference Offset:  ['28','174'] | Reference Text:  <S sid = 28 ssid = >Related work is in Section 6, and the conclusions are in Section 7.</S><S sid = 174 ssid = >All of them are indeed semantically related to the domain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P09-1026.txt | Citing Article:  P14-3004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some previous research looked at the related field of opinion mining, also on political discussion, as in (AbuJbara et al, 2012), (Anand et al., 2011) or (Somasundaran and Wiebe, 2009).</S> | Reference Offset:  ['218','222'] | Reference Text:  <S sid = 218 ssid = >A number of works in product review mining (Hu and Liu, 2004; Popescu et al., 2005; Kobayashi et al., 2005; Bloom et al., 2007) automatically find features of the reviewed products.</S><S sid = 222 ssid = >More sophisticated approaches to identifying opinions and recognizing their contextual polarity have been published (e.g., (Wilson et al., 2005; Ikeda et al., 2008; Sadamitsu et al., 2008)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P09-1026.txt | Citing Article:  P14-3004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As we aim at performing a finegrained analysis, approaches merely classifying pro or contra (like those of (Walker et al, 2012) or (Somasundaran and Wiebe, 2009) are not applicable in our case.</S> | Reference Offset:  ['220','222'] | Reference Text:  <S sid = 220 ssid = >Several researchers have recognized the important role discourse plays in opinion analysis (Polanyi and Zaenen, 2005; Snyder and Barzilay, 2007; Somasundaran et al., 2008; Asher et al., 2008; Sadamitsu et al., 2008).</S><S sid = 222 ssid = >More sophisticated approaches to identifying opinions and recognizing their contextual polarity have been published (e.g., (Wilson et al., 2005; Ikeda et al., 2008; Sadamitsu et al., 2008)).</S> | Discourse Facet:  NA | Annotator: Automatic


