Citance Number: 1 | Reference Article:  D09-1058.txt | Citing Article:  D10-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, Suzuki et al (2009) present a very effective semi-supervised approach in which features from multiple generative models estimated on unlabeled data are combined in a discriminative system for structured prediction.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this framework, a structured conditional model is constructed by incorporating a series of generative models, whose parameters are estimated from unlabeled data.</S><S sid = NA ssid = NA>An Empirical Study of Semi-supervised Structured Conditional Models for Dependency Parsing</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D09-1058.txt | Citing Article:  P14-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The main choice in the approach is the partitioning of f(x, y) into components r1(x, y) ... rk(x, y), which in our experience is straightforward.</S><S sid = NA ssid = NA>5 can be defined as follows.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D09-1058.txt | Citing Article:  P14-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Both Suzuki et al (2009) and Chen et al (2013) adopt the higher order parsing model of Carreras (2007), and Suzuki et al (2009) also incorporate word cluster features proposed by Koo et al (2008) in their system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In addition, we have described extensions that incorporate the cluster-based features of Koo et al. (2008), and that allow the use of second-order parsing models.</S><S sid = NA ssid = NA>These settings match the evaluation setting in previous work such as (McDonald et al., 2005a; Koo et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D09-1058.txt | Citing Article:  D11-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Also, some work has incorporated unsupervised word clusters as features, including that of Koo et al (2008) and Suzuki et al (2009), who utilized unsupervised word clusters created using the Brown et al (1992) hierarchical clustering algorithm.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>First, hierarchical word clusters are derived from unlabeled data using the Brown et al. clustering algorithm (Brown et al., 1992).</S><S sid = NA ssid = NA>These settings match the evaluation setting in previous work such as (McDonald et al., 2005a; Koo et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


