Citance Number: 1 | Reference Article:  N04-1041.txt | Citing Article:  C04-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We present an algorithm for extracting is-a relations, designed for the terascale, and compare it to a state of the art method that employs deep analysis of text (Pantel and Ravichandran 2004).</S> | Reference Offset:  ['2','97'] | Reference Text:  <S sid = 2 ssid = >The current state of the art discovers many semantic classes but fails to label their concepts.</S><S sid = 97 ssid = >In this section, we present an evaluation of the class labeling algorithm and of the hyponym relationships discovered by our system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N04-1041.txt | Citing Article:  C04-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, Pantel and Ravichandran (2004) extended this approach by making use of all syntactic dependency features for each noun.</S> | Reference Offset:  ['59','69'] | Reference Text:  <S sid = 59 ssid = >Ours is a top down approach.</S><S sid = 69 ssid = >Finally, we use simple syntactic patterns to discover class names from each class' signature.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N04-1041.txt | Citing Article:  C04-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our co-occurrence model (Pantel and Ravichandran 2004) makes use of semantic classes like those generated by CBC.</S> | Reference Offset:  ['0','60'] | Reference Text:  <S sid = 0 ssid = >Automatically Labeling Semantic Classes</S><S sid = 60 ssid = >We make use of cooccurrence statistics of semantic classes discovered by algorithms like CBC to label their concepts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N04-1041.txt | Citing Article:  C04-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These relationships, automatically learned in (Pantel and Ravichandran 2004), include appositions, nominal subjects, such as relationships, and like relationships.</S> | Reference Offset:  ['93','179'] | Reference Text:  <S sid = 93 ssid = >The top-4 highest scoring relationships are: To name a class, we simply search for these syntactic relationships in the signature of a concept.</S><S sid = 179 ssid = >Without being able to automatically name a cluster and extract hyponym/hypernym relationships, the utility of automatically generated clusters or manually compiled lists of terms is limited.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N04-1041.txt | Citing Article:  C04-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The syntactical co-occurrence approach has worst-case time complexity O (n2k), where n is the number of words in the corpus and k is the feature space (Pantel and Ravichandran 2004).</S> | Reference Offset:  ['38','59'] | Reference Text:  <S sid = 38 ssid = >One approach constructs automatic thesauri by computing the similarity between words based on their distribution in a corpus (Hindle 1990; Lin 1998).</S><S sid = 59 ssid = >Ours is a top down approach.</S> | Discourse Facet:  NA | Annotator: Automatic


