Citance Number: 1 | Reference Article:  P87-1022.txt | Citing Article:  P89-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Anchors i, iv, v, viii, ix, xii, xiii, xvi are eliminated since [A9] and [A10] are contraindexed.</S><S sid = NA ssid = NA>Reference markers also carry information about agreement and grammatical function.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P87-1022.txt | Citing Article:  P89-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Anchors i, iv, v, viii, ix, xii, xiii, xvi are eliminated since [A9] and [A10] are contraindexed.</S><S sid = NA ssid = NA>Reference markers also carry information about agreement and grammatical function.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P87-1022.txt | Citing Article:  P13-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Centering models local coherence rather generally and has been applied to the generation of referring expressions (Kibble and Power, 2004), to resolve pronouns (Brennan et al, 1987, inter alia), to score essays (Miltsakaki and Kukich, 2004), to arrange sentences in the correct order (Karamanis et al, 2009), and to many other tasks.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Centering Approach To Pronouns</S><S sid = NA ssid = NA>On this view, a key element of local coherence is centering, a system of rules and constraints that govern the relationship between what the discourse is about and some of the linguistic choices made by the discourse participants, e.g. choice of grammatical function, syntactic structure, and type of referring expression (proper noun, definite or indefinite description, reflexive or personal pronoun, etc.).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P87-1022.txt | Citing Article:  W99-0108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To our knowledge, there are only two focus-based pronoun resolution algorithms that are specified in enough detail to work on unrestricted naturally occurring text: Brennan et al (1987) using the definition of utterance according to Kameyama (1998), and Struhe (1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The proposed Cb was realized as a pronoun.</S><S sid = NA ssid = NA>The example is the last utterance from figure 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P87-1022.txt | Citing Article:  P98-2204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In Section 4, I compare the results of my algorithm with the results of the centering algorithm (Brennan et al, 1987) with and without specifications for complex sentences (Kameyama, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>How should the centering algorithm interact with an inferencing mechanism?</S><S sid = NA ssid = NA>There are other interesting questions concerning the centering algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


