Citance Number: 1 | Reference Article:  E06-1011.txt | Citing Article:  P14-2128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To show that the influence of punctuations on parsing is independent of specific parsing algorithms, we conduct experiments using three parsers, each representing a different parsing methodology: the open source MST Parser 1 (McDonald and Pereira, 2006), our own re-implementation of an arc-standard transition based parser (Nivre, 2008), which is trained using global learning and beam-search (Zhang and Clark, 2008) with a rich feature set (Zhang and Nivre, 2011), and our own re-implementation of the easy-first parser (Goldberg and Elhadad, 2010) with an extended feature set (Ma et al, 2013).</S> | Reference Offset:  ['19','101'] | Reference Text:  <S sid = 19 ssid = >Dependency-tree parsing as the search for the maximum spanning tree (MST) in a graph was proposed by McDonald et al. (2005c).</S><S sid = 101 ssid = >Using this simple new approximate parsing algorithm, we train a new parser that can produce multiple parents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  E06-1011.txt | Citing Article:  P12-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we integrate the cost from a graph-based model (McDonald and Pereira, 2006) which directly models dependency links.</S> | Reference Offset:  ['1','108'] | Reference Text:  <S sid = 1 ssid = >In this paper we extend the maximum spanning tree (MST) dependency parsing framework of McDonald et al. (2005c) to incorporate higher-order feature representations and allow dependency structures with multiple parents per word.</S><S sid = 108 ssid = >We parse this instance to obtain a predicted dependency graph, and find the smallest-norm update to the weight vector w that ensures that the training graph outscores the predicted graph by a margin proportional to the loss of the predicted graph relative to the training graph, which is the number of words with incorrect parents in the predicted tree (McDonald et al., 2005b).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  E06-1011.txt | Citing Article:  P12-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The 1st- and sibling 2nd-order models are the same as McDonald and Pereira (2006)'s definitions, except the cost factors of the sibling 2nd-order model.</S> | Reference Offset:  ['62','123'] | Reference Text:  <S sid = 62 ssid = >This is done through the creation of a sibling item in part (B).</S><S sid = 123 ssid = >We also include conjunctions between these features and the direction and distance from sibling j to sibling k. We determined the usefulness of these features on the development set, which also helped us find out that features such as the POS tags of words between the two siblings would not improve accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  E06-1011.txt | Citing Article:  P12-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is different from McDonald and Pereira (2006) in that the cost factors for left children are calculated from left to right, while those in McDonald and Pereira (2006)'s definition are calculated from right to left.</S> | Reference Offset:  ['40','41'] | Reference Text:  <S sid = 40 ssid = >This independence between left and right descendants allow us to use a O(n3) second-order projective parsing algorithm, as we will see later.</S><S sid = 41 ssid = >We write s(xi, −, xj) when xj is the first left or first right dependent of word xi.</S> | Discourse Facet:  NA | Annotator: Automatic


