Citance Number: 1 | Reference Article:  D10-1124.txt | Citing Article:  W11-0309.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Eisenstein et al (Eisenstein et al, 2010) show promising results in identifying an author's geographic location from micro-blogs, but the locations are coarse-grained and rely on a substantial message history per-source.</S> | Reference Offset:  ['35','175'] | Reference Text:  <S sid = 35 ssid = >Every message is tagged with a location, but most messages from a single individual tend to come from nearby locations (as they go about their day); for modeling purposes we use only a single geographic location for each author, simply taking the location of the first message in the sample.</S><S sid = 175 ssid = >More relevant is the work of Mei et al. (2006), in which the distribution over latent topics in blog posts is conditioned on the geographical location of the author.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D10-1124.txt | Citing Article:  P14-2030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Eisenstein et al (2010) demonstrated a model that predicted where an author was located in order to analyze regional distinctions in communication.</S> | Reference Offset:  ['3','14'] | Reference Text:  <S sid = 3 ssid = >High-level topics such as “sports” or “entertainment” are rendered differently in each geographic region, revealing topic-specific regional distinctions.</S><S sid = 14 ssid = >Each author is imbued with a latent “region” indicator, which both selects the regional variant of each topic, and generates the author’s observed geographical location.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D10-1124.txt | Citing Article:  P11-1137.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our dataset is derived from prior work in which we gathered the text and geographical locations of 9,250 microbloggers on the website twitter.com (Eisenstein et al, 2010).</S> | Reference Offset:  ['18','25'] | Reference Text:  <S sid = 18 ssid = >Our dataset is derived from the microblogging website Twitter,1 which permits users to post short messages to the public.</S><S sid = 25 ssid = >The main dataset in this research is gathered from the microblog website Twitter, via its official API.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D10-1124.txt | Citing Article:  P11-1137.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Many of these terms are non-standard; while space does not permit a complete glossary, some are defined in Table 4 or in our earlier work (Eisenstein et al, 2010).</S> | Reference Offset:  ['50','157'] | Reference Text:  <S sid = 50 ssid = >As in standard latent Dirichlet allocation (Blei et al., 2003), the base topics are selected by a per-token hidden variable z.</S><S sid = 157 ssid = >A large number of slang terms are found to have strong regional biases, suggesting that slang may depend on geography more than standard English does.</S> | Discourse Facet:  NA | Annotator: Automatic


