Citance Number: 1 | Reference Article:  J93-1007.txt | Citing Article:  W12-3311.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Smadja (1993) illustrates this by presenting 8 different ways of referring to the Dow Jones index, among which only 4 are used.</S> | Reference Offset:  ['23','113'] | Reference Text:  <S sid = 23 ssid = >For example, among the eight different expressions referring to the famous Wall Street index, only those used in sentences 1-4 are correct.</S><S sid = 113 ssid = >In the New York Stock Exchange domain, for example, &quot;The Dow industrials,&quot; &quot;The Dow Jones average of 30 industrial stocks,&quot; &quot;the Dow Jones industrial average,&quot; and &quot;The Dow Jones industrials&quot; represent several ways to express a single concept.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J93-1007.txt | Citing Article:  W12-3311.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Smadja (1993) classifies them according to syntactic function while Sag et al (2002) classify them according to flexibility.</S> | Reference Offset:  ['144','540'] | Reference Text:  <S sid = 144 ssid = >Second, these techniques simply analyze the collocations according to their observed frequency in the corpus; this makes the results too dependent on the size of the corpus.</S><S sid = 540 ssid = >According to this measure, DJ is much more focused than both the Brown Corpus and NYT because the difference in variety is 1 in the logarithmic scale.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J93-1007.txt | Citing Article:  W12-3311.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Among early work on developing methods for MWE identification, there is that of Smadja (1993).</S> | Reference Offset:  ['152','618'] | Reference Text:  <S sid = 152 ssid = >Their work, however, has some limitations too.</S><S sid = 618 ssid = >This would require compiling two monolingual collocational dictionaries and then developing some automatic or assisted translation methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J93-1007.txt | Citing Article:  W96-0304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Therefore, sublanguage techniques such as Sager (1981) and Smadja (1993) do not work.</S> | Reference Offset:  ['142','152'] | Reference Text:  <S sid = 142 ssid = >The work, however, has some limitations.</S><S sid = 152 ssid = >Their work, however, has some limitations too.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J93-1007.txt | Citing Article:  N07-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Baron and Hirst (2004) extracted collocations with Xtract (Smadja, 1993) and classified the collocations using the orientations of the words in the neighboring sentences.</S> | Reference Offset:  ['0','481'] | Reference Text:  <S sid = 0 ssid = >Retrieving Collocations From Text: Xtract</S><S sid = 481 ssid = >Some collocations with &quot;rain&quot; and &quot;hurricane&quot; extracted from AP are listed in Figure 15.</S> | Discourse Facet:  NA | Annotator: Automatic


