Citance Number: 1 | Reference Article:  P05-1015.txt | Citing Article:  P06-2081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This can help explain why, as Pang and Lee (2005) note, one person's four-star review is another's two-star.</S> | Reference Offset:  ['27','51'] | Reference Text:  <S sid = 27 ssid = >As Table 1 shows, both subjects performed perfectly when the rating separation was at least 3 “notches” in the original scale (we define a notch as a half star in a four- or five-star scheme and 10 points in a 100-point scheme).</S><S sid = 51 ssid = >Even though Eric Lurio uses a 5 star system, his grading is very relaxed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-1015.txt | Citing Article:  P06-2081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['53','171'] | Reference Text:  <S sid = 53 ssid = >feature space to a metric space.If we choose from a family of sufficiently “gradual” functions, then similar items necessarily receive similar labels.</S><S sid = 171 ssid = >Koppel and Schler (2005) independently found in a three-class study that thresholding a positive/negative classifier trained only on clearly positive or clearly negative examples did not yield large improvements.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-1015.txt | Citing Article:  P14-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use a sentiment-annotated data set consisting of movie reviews by (Pang and Lee, 2005) and tweets from http: //help.sentiment140.com/for-students.</S> | Reference Offset:  ['35','81'] | Reference Text:  <S sid = 35 ssid = >Also, even the two-category version of the rating-inference problem for movie reviews has proven quite challenging for many automated classification techniques (Pang, Lee, and Vaithyanathan, 2002; Turney, 2002).</S><S sid = 81 ssid = >To avoid the need to hand-label sentences as positive or negative, we first created a sentence polarity dataset7 consisting of 10,662 movie-review “snippets” (a striking extract usually one sentence long) downloaded from www.rottentomatoes.com; each snippet was labeled with its source review’s label (positive or negative) as provided by Rotten Tomatoes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-1015.txt | Citing Article:  P10-2049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There is a huge body of work on OM in movie reviews which was sparked by the dataset from Pang and Lee (2005).</S> | Reference Offset:  ['35','36'] | Reference Text:  <S sid = 35 ssid = >Also, even the two-category version of the rating-inference problem for movie reviews has proven quite challenging for many automated classification techniques (Pang, Lee, and Vaithyanathan, 2002; Turney, 2002).</S><S sid = 36 ssid = >We applied the above two labeling schemes to a scale dataset3 containing four corpora of movie reviews.</S> | Discourse Facet:  NA | Annotator: Automatic


