Citance Number: 1 | Reference Article:  P03-1009.txt | Citing Article:  P04-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Schulteim Walde and Brew (2002) used the k-Means (Forgy, 1965) algorithm to cluster SCF distributions for monose mous verbs while Korhonen et al (2003) applied other clustering methods to cluster polysemic SCF data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brew and Schulte im Walde (2002)).</S><S sid = NA ssid = NA>This involved applying the NN and IB methods to cluster polysemic SCF distributions extracted from corpus data using Briscoe and Carroll’s (1997) system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-1009.txt | Citing Article:  P14-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The most closely related work to our polysemy aware task of unsupervised verb class induction is the work of Korhonen et al (2003), who used distributions of sub categorization frames to cluster verbs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In contrast to earlier work, we give special emphasis to polysemy.</S><S sid = NA ssid = NA>Earlier work has largely ignored this issue by assuming a single gold standard class for each verb (whether polysemic or not).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-1009.txt | Citing Article:  P14-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Korhonen et al (2003) evaluated hard clusterings based on a gold standard with multiple classes per verb.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We first evaluated the clusters against the predominant sense, i.e. using the monosemous gold standard.</S><S sid = NA ssid = NA>Clearly, allowing for multiple gold standard classes makes it easier to obtain better results with evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-1009.txt | Citing Article:  P14-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Table 1: An excerpt of the gold-standard verb classes for several verbs from Korhonen et al (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The test verbs and their classes are shown in table 1.</S><S sid = NA ssid = NA>10 gold standard classes included 2 or more or these.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P03-1009.txt | Citing Article:  P14-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We first evaluate our induced verb classes on the test set created by Korhonen et al (2003) (Table 1 of their paper) which was created by considering verb polysemy on the basis of Levin's classes and the LCS database (Dorr, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This incorporates Levin’s classes, 26 additional classes by Dorr (1997)1, and 57 new classes for verb types not covered comprehensively by Levin or Dorr.</S><S sid = NA ssid = NA>The test verbs and their classes are shown in table 1.</S> | Discourse Facet:  NA | Annotator: Automatic


