Citance Number: 1 | Reference Article:  N07-1029.txt | Citing Article:  P07-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This work was extended in (Rosti et al, 2007) by introducing system weights for word confidences.</S> | Reference Offset:  ['107','110'] | Reference Text:  <S sid = 107 ssid = >So far, confusion networks have been applied in MT system combination using three different alignment procedures: WER (Bangalore et al., 2001), GIZA++ alignments (Matusov et al., 2006) and TER (Sim et al., 2007).</S><S sid = 110 ssid = >This work extends the approach proposed in (Sim et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N07-1029.txt | Citing Article:  P07-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The improved system combination method was compared to a simple confusion network decoding without system weights and the method proposed in (Rosti et al, 2007) on the Arabic to English and Chinese to English NIST MT05 tasks.</S> | Reference Offset:  ['101','134'] | Reference Text:  <S sid = 101 ssid = >The third combination method is based on confusion network decoding.</S><S sid = 134 ssid = >Six systems trained on all data available for GALE 2006 evaluation were used in the experiments to demonstrate the performance of all three system combination methods on Arabic and Chinese to English MT tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N07-1029.txt | Citing Article:  P07-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Compared to the baseline from (Rosti et al, 2007), the new method improves the BLEU scores significantly.</S> | Reference Offset:  ['119','142'] | Reference Text:  <S sid = 119 ssid = >It was found that aligning more than one hypothesis ( ) from each system to the skeleton improves the combination outputs.</S><S sid = 142 ssid = >It was found that minimizing TER on Arabic also resulted in higher BLEU scores compared to the best single system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N07-1029.txt | Citing Article:  W12-3124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The subnetworks in the latter approach may be weighted by prior probabilities estimated from the alignment statistics (Rosti et al, 2007a).</S> | Reference Offset:  ['107','110'] | Reference Text:  <S sid = 107 ssid = >So far, confusion networks have been applied in MT system combination using three different alignment procedures: WER (Bangalore et al., 2001), GIZA++ alignments (Matusov et al., 2006) and TER (Sim et al., 2007).</S><S sid = 110 ssid = >This work extends the approach proposed in (Sim et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


