Citance Number: 1 | Reference Article:  P04-1083.txt | Citing Article:  P04-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['206','207'] | Reference Text:  <S sid = 206 ssid = >Thanks to Joseph Turian, Wei Wang, Ben Wellington, and the anonymous reviewers for valuable feedback.</S><S sid = 207 ssid = >This research was supported by an NSF CAREER Award, the DARPA TIDES program, and an equipment gift from Sun Microsystems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P04-1083.txt | Citing Article:  I08-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['206','207'] | Reference Text:  <S sid = 206 ssid = >Thanks to Joseph Turian, Wei Wang, Ben Wellington, and the anonymous reviewers for valuable feedback.</S><S sid = 207 ssid = >This research was supported by an NSF CAREER Award, the DARPA TIDES program, and an equipment gift from Sun Microsystems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P04-1083.txt | Citing Article:  P09-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, requiring l not 0 and, if k not 0 then sk must be a child of sl in the source tree, we can implement a synchronous dependency grammar similar to (Melamed, 2004).</S> | Reference Offset:  ['146','194'] | Reference Text:  <S sid = 146 ssid = >For example, in Figure 6 a monolingual grammar has allowed only one dependency structure on the English side, and a word-to-word translation model has allowed only one word alignment.</S><S sid = 194 ssid = >For example, Melamed (2003) showed how to reduce the computational complexity of a synchronous parser by , just by changing the logic.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P04-1083.txt | Citing Article:  W06-1628.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Melamed (2004) establishes a theoretical framework for generalized synchronous parsing and translation.</S> | Reference Offset:  ['9','19'] | Reference Text:  <S sid = 9 ssid = >Figure 1 shows some of the ways in which ordinary parsing can be generalized.</S><S sid = 19 ssid = >We shall limit our attention to MTGs in Generalized Chomsky Normal Form (GCNF) (Melamed et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P04-1083.txt | Citing Article:  C08-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >When a parser's grammar can have fewer dimensions than the parser's input, we call it a synchronizer (Melamed, 2004).</S> | Reference Offset:  ['11','12'] | Reference Text:  <S sid = 11 ssid = >When a parser’s input can have fewer dimensions than the parser’s grammar, we call it a translator.</S><S sid = 12 ssid = >When a parser’s grammar can have fewer dimensions than the parser’s input, we call it a synchronizer.</S> | Discourse Facet:  NA | Annotator: Automatic


