Citance Number: 1 | Reference Article:  J98-1001.txt | Citing Article:  P14-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Two of the fundamental components of a natural language communication are word sense discovery (Jones, 1986) and word sense disambiguation (Ide and Veronis, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In general terms, word sense disambiguation involves the association of a given word in a text or discourse with a definition or meaning (sense) which is distinguishable from other meanings potentially attributable to that word.</S><S sid = NA ssid = NA>Therefore, all work on sense disambiguation relies on the context of the target word to provide information to be used for its disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J98-1001.txt | Citing Article:  P14-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ide and Veronis (1998) present a very concise survey of the history of ideas used in word sense disambiguation; for a recent survey of the state-of-the-art one can refer to (Navigli, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Introduction To The Special Issue On Word Sense Disambiguation: The State Of The Art</S><S sid = NA ssid = NA>The following sections survey the approaches applied to date.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J98-1001.txt | Citing Article:  C02-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Several types of information are useful for WSD (Ide and Veronis 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Very few studies have used Ide and Veronis Introduction information of all three types, and the focus in much recent work is on microcontext alone.</S><S sid = NA ssid = NA>However, to date there has been little systematic study Ide and Wronis Introduction of the contribution of different information types for different types of target words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J98-1001.txt | Citing Article:  W07-2017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The NLP field has gone through a very long tradition of algorithms designed for solving this problem (Ide and Veronis, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Given the progress that has been recently made in WSD research and the rapid development of methods for solving the problem, it is appropriate at this time to stand back and assess the state of the field and to consider the next steps that need to be taken.</S><S sid = NA ssid = NA>Work on automatic WSD has a history as long as automated language processing generally.</S> | Discourse Facet:  NA | Annotator: Automatic


