Citance Number: 1 | Reference Article:  P94-1013.txt | Citing Article:  P97-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, although the case study of accent restoration in Spanish and French was chosen for its diversity of ambiguity types and plentiful source of data for fully automatic and objective evaluation, the algorithm solves a worthwhile problem in its own right with promising commercial potential.</S><S sid = NA ssid = NA>The initial step is to take a histogram of a corpus with accents and diacritics retained, and compute a table of accent pattern distributions as follows: De-accented Form Accent Pattern % Number cesse cesse 53% 669 cesse 47% 593 cout mut 100% 330 couta cofita 100% 41 coute colite 53% 107 mite 47% 96 cote cote 69% 2645 cote 28% 1040 cote 3% 99 cote <1% 15 cotiere cOtiere 100% 296 For words with multiple accent patterns, steps 2-5 are applied.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P94-1013.txt | Citing Article:  W03-0417.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Until now, many methods have been proposed for this problem including winnow-based algorithms (Golding and Roth, 1999), differential grammars (Powers, 1998), transformation based learning (Mangu and Brill, 1997), decision lists (Yarowsky, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper presents a general-purpose statistical decision procedure for lexical ambiguity resolution based on decision lists (Rivest, 1987).</S><S sid = NA ssid = NA>Several smoothing methods have been explored here, including those discussed in (Gale et al., 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P94-1013.txt | Citing Article:  P06-2065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In cases like (Yarowsky, 1995), unsupervised methods offer accuracy results than rival supervised methods (Yarowsky,1994) while requiring only a fraction of the data preparation effort.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In particular, precision seems to be at least as good as that achieved with Bayesian methods applied to the same evidence.</S><S sid = NA ssid = NA>Several smoothing methods have been explored here, including those discussed in (Gale et al., 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P94-1013.txt | Citing Article:  W02-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Decision lists (Rivest, 1987) have been used for a variety of natural language tasks, including accent restoration (Yarowsky, 1994), word sense disambiguation (Yarowsky, 2000), finding the past tense of English verbs (Mooney and Califf, 1995), and several other problems.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The formal model of decision lists was presented in (Rivest, 1987).</S><S sid = NA ssid = NA>Accent restoration is merely an instance of a closelyrelated class of problems including word-sense disambiguation, word choice selection in machine translation, homograph and homophone disambiguation, and capitalization restoration.</S> | Discourse Facet:  NA | Annotator: Automatic


