Citance Number: 1 | Reference Article:  C04-1046.txt | Citing Article:  P14-2124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In contrast, Blatz et al (2004) introduced a sentence level QE system where an arbitrary threshold is used to classify the MT output as good or bad.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C04-1046.txt | Citing Article:  P10-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The idea is explored more comprehensively in (Blatz et al, 2004).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C04-1046.txt | Citing Article:  W12-3121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this respect, the goal is more related to the area of confidence estimation for MT (Blatz et al, 2004).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C04-1046.txt | Citing Article:  P10-2032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We compute sentence CMs by combining the scores given by a word CM based on the IBM model 1 (Brown et al, 1993), similar to the one described in (Blatz et al, 2004).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C04-1046.txt | Citing Article:  P14-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The work of (Blatz et al, 2004) is among the best known study of sentence and word level features for translation error prediction.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  C04-1046.txt | Citing Article:  D12-1118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This resembles approaches that merge different classifiers (Riedel et al 2011) or attempt to estimate confidence of models (Blatz et al 2004).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C04-1046.txt | Citing Article:  W12-3111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used two different methods to combine subsequence features: Average value of subsequence-level scores, as done in (Blatz et al, 2004).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


