Citance Number: 1 | Reference Article:  J91-1003.txt | Citing Article:  W98-0614.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Computational approaches are mostly concerned with inferring implicitly expressed metonymic relations in English texts (Fass 1991).</S> | Reference Offset:  ['38','80'] | Reference Text:  <S sid = 38 ssid = >Sections 6 and 7 describe some extensions to metaphor interpretation in CS and compare the met* method against other approaches to metaphor and metonymy, especially computational ones.</S><S sid = 80 ssid = >Among computational approaches, Indurkhya's (1988) Constrained Semantic Transference theory of metaphor can be viewed as a formalization of Black's interaction theory (ibid., p. 129).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J91-1003.txt | Citing Article:  W98-0614.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In his program, (Fass 1991) makes use of formal definitions of several kinds of metonymic relations.</S> | Reference Offset:  ['239','521'] | Reference Text:  <S sid = 239 ssid = >In CS, seven kinds of semantic relation are distinguished: literal, metonymic, metaphorical, anomalous, redundant, inconsistent, and novel relations (this list may not be exhaustive — there could be others).</S><S sid = 521 ssid = >The reason is that metonymic relations, unlike the others, are not discriminated by CS in terms of only five kinds of network path and seven kinds of cell matches.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J91-1003.txt | Citing Article:  D12-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our view of relations in a concept network being the interpretations of metonymies is strongly reminiscent of older work in metonymy resolution such as Hobbs et al1993), Fass (1991), Markert and Hahn (2002) or the use of a generative lexicon.</S> | Reference Offset:  ['113','610'] | Reference Text:  <S sid = 113 ssid = >Sentences (4), (5) and (6) also have twin interpretations.</S><S sid = 610 ssid = >However, the work does not have a treatment of metonymy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J91-1003.txt | Citing Article:  W06-3506.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['227','694'] | Reference Text:  <S sid = 227 ssid = >Lexical syntactic and semantic constraints are enforced at certain places in sentences which I call dependencies.</S><S sid = 694 ssid = >I also gratefully acknowledge the financial support provided by SERC Project GR/C/68828 while at Essex, by the New Mexico State Legislature while at NMSU, and by the Advanced Systems Institute and the Centre for Systems Science while at SFU.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J91-1003.txt | Citing Article:  W07-0103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fass (Fass, 1991) uses selectional preference violation technique to detect metaphors.</S> | Reference Offset:  ['268','340'] | Reference Text:  <S sid = 268 ssid = >The contextual constraint violation may be a preference violation, as in the selection restrictions view of metaphor.</S><S sid = 340 ssid = >For more detail on cell matches, see Fass (1988a).</S> | Discourse Facet:  NA | Annotator: Automatic


