Citance Number: 1 | Reference Article:  P07-1056.txt | Citing Article:  D08-1072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For evaluation we selected two domain adaptation datasets :spam (Jiang and Zhai, 2007) and sentiment (Blitzer et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also note that while Florian et al. (2004) and Blitzer et al.</S><S sid = NA ssid = NA>First, we show how to extend the recently proposed structural correspondence learning (SCL) domain adaptation algorithm (Blitzer et al., 2006) for use in sentiment classification.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1056.txt | Citing Article:  D08-1072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Blitzer et al (2007) used structural correspondence learning to train a classifier on source data with new features induced from target unlabeled data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>First, we showed that for a given source and target domain, we can significantly improve for sentiment classification the structural correspondence learning model of Blitzer et al. (2006).</S><S sid = NA ssid = NA>As we noted in Section 5, we are able to significantly outperform basic structural correspondence learning (Blitzer et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1056.txt | Citing Article:  P14-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For these experiments we use the Multi-Domain Sentiment Dataset, introduced by Blitzer et al (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also note that while Florian et al. (2004) and Blitzer et al.</S><S sid = NA ssid = NA>First, we show how to extend the recently proposed structural correspondence learning (SCL) domain adaptation algorithm (Blitzer et al., 2006) for use in sentiment classification.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1056.txt | Citing Article:  P14-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We split the labeled data 80/20 following Blitzer et al (2007) (cf. Chen et al. (2012) train on all "labeled" data and test on the "unlabeled" data).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally we note that while Blitzer et al. (2006) did combine SCL with labeled target domain data, they only compared using the label of SCL or non-SCL source classifiers as features, following the work of Florian et al.</S><S sid = NA ssid = NA>We also note that while Florian et al. (2004) and Blitzer et al.</S> | Discourse Facet:  NA | Annotator: Automatic


