Citance Number: 1 | Reference Article:  W02-2024.txt | Citing Article:  W03-0419.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The shared task of CoNLL-2002 dealt with named entity recognition for Spanish and Dutch (Tjong Kim Sang, 2002).</S> | Reference Offset:  ['0','4'] | Reference Text:  <S sid = 0 ssid = >Introduction To The CoNLL-2002 Shared Task: Language-Independent Named Entity Recognition</S><S sid = 4 ssid = >The shared task of CoNLL-2002 concerns language-independent named entity recognition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W02-2024.txt | Citing Article:  W11-2202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We do not undertake the problem of named entity recognition (Tjong Kim Sang, 2002), but rather apply an existing NER system as a preprocessing step (Finkel et al, 2005).</S> | Reference Offset:  ['32','88'] | Reference Text:  <S sid = 32 ssid = >The annotator has followed the MITRE and SAIC guidelines for named entity recognition (Chinchor et al., 1999) as well as possible.</S><S sid = 88 ssid = >A boosted decision tree method obtained the best performance on both data sets (Carreras et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W02-2024.txt | Citing Article:  C04-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Empirical evidence for this argument can be seen from the result of the CoNLL shared tasks (Tjong Kim Sang, 2002) (Tjong Kim Sang and Meulder, 2003), where the ranking of the participating systems changes with the test corpora.</S> | Reference Offset:  ['64','89'] | Reference Text:  <S sid = 64 ssid = >Stages use the output of previous stages for obtaining an improved performance (Spanish test set: F,3=1=73.92; Dutch test set: F,3=1=71.36) Tjong Kim Sang (2002) has applied a memory-based learner to the data of the shared task.</S><S sid = 89 ssid = >Tjong Kim Sang is supported by IWT STWW as a researcher in the ATRANOS project.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W02-2024.txt | Citing Article:  N04-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similarly to classical NLP tasks such as base noun phrase chunking (Ramshaw and Marcus, 1994), text chunking (Ramshaw and Marcus, 1995) or named entity recognition (Tjong Kim Sang, 2002), we formulate the mention detection problem as a classification problem, by assigning to each token in the text a label, indicating whether it starts a specific mention, is inside a specific mention, or is outside any mentions.</S> | Reference Offset:  ['22','84'] | Reference Text:  <S sid = 22 ssid = >The tagging scheme is a variant of the IOB scheme originally put forward by Ramshaw and Marcus (1995).</S><S sid = 84 ssid = >It processed the data in two stages: first entity recognition and then classification.</S> | Discourse Facet:  NA | Annotator: Automatic


