Citance Number: 1 | Reference Article:  J01-4004.txt | Citing Article:  P02-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Decision tree algorithms were used for reference resolution by Aone and Bennett (1995, C4.5), McCarthy and Lehnert (1995, C4.5) and Soon et al (2001, C5.0).</S> | Reference Offset:  ['306','307'] | Reference Text:  <S sid = 306 ssid = >The work of Aone and Bennett (1995), McCarthy and Lehnert (1995), Fisher et al. (1995), and McCarthy (1996) employed decision tree learning.</S><S sid = 307 ssid = >The RESOLVE system is presented in McCarthy and Lehnert (1995), Fisher et al. (1995), and McCarthy (1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J01-4004.txt | Citing Article:  P02-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It was criticized (Soon et al, 2001) that the features used by McCarthy and Lehnert (1995) are highly idiosyncratic and applicable only to one particular domain.</S> | Reference Offset:  ['228','307'] | Reference Text:  <S sid = 228 ssid = >The RESOLVE system is described in three papers: McCarthy and Lehnert (1995), Fisher et al. (1995), and McCarthy (1996).</S><S sid = 307 ssid = >The RESOLVE system is presented in McCarthy and Lehnert (1995), Fisher et al. (1995), and McCarthy (1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J01-4004.txt | Citing Article:  P02-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Soon et al (2001) use twelve features (see Table 1).</S> | Reference Offset:  ['196','241'] | Reference Text:  <S sid = 196 ssid = >Table 3 and Table 4 show the results of the experiment.</S><S sid = 241 ssid = >RESOLVE makes use of 39 features, considerably more than our system's 12 features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J01-4004.txt | Citing Article:  P02-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Soon et al (2001) include all noun phrases returned by their NP identifier and report an F-measure of 62.6% for MUC-6 data and 60.4% for MUC-7 data.</S> | Reference Offset:  ['204','330'] | Reference Text:  <S sid = 204 ssid = >Since these features are highly informative, we were curious to see how much they contribute to our MUC-6 and MUC-7 results of 62.6% and 60.4%, respectively.</S><S sid = 330 ssid = >We evaluated our approach on common data sets, namely, the MUC-6 and MUC-7 coreference corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J01-4004.txt | Citing Article:  P02-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Features like the string ident and substring match features were used by other researchers (Soon et al, 2001), while the features ante med and ana med were used by Strube et al (2002) in order to improve the performance for definite NPs.</S> | Reference Offset:  ['193','313'] | Reference Text:  <S sid = 193 ssid = >One factor that affects the performance of a machine learning approach is the set of features used.</S><S sid = 313 ssid = >The features used were slightly changed for this domain.</S> | Discourse Facet:  NA | Annotator: Automatic


