Citance Number: 1 | Reference Article:  P06-1123.txt | Citing Article:  P10-1146.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wellington et al (2006), in a more systematic study, find that, of sentences where the tree-to-tree constraint blocks rule extraction, the majority are due to parser errors.</S> | Reference Offset:  ['13','78'] | Reference Text:  <S sid = 13 ssid = >† SW made most of her contribution while at NYU. is relevant to finite-state phrase-based models that use no parse trees (Koehn et al., 2003), tree-tostring models that rely on one parse tree (Yamada and Knight, 2001), and tree-to-tree models that rely on two parse trees (Groves et al., 2004, e.g.).</S><S sid = 78 ssid = >On the other hand, if a constraining tree is applied to the other sentence as shown in Figure 2b, then the word alignment and tree constraint conflict.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1123.txt | Citing Article:  P08-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wellington et al. (2006) reports that discontinuities are very useful for translational equivalence analysis using binary branching structures under word alignment and parse tree constraints while they are almost of no use if under word alignment constraints only.</S> | Reference Offset:  ['48','178'] | Reference Text:  <S sid = 48 ssid = >To measure the number of gaps needed to generate a given word alignment, we used a bottom-up hierarchical alignment algorithm to infer a binary synchronous parse tree that was consistent with the alignment, using as few gaps as possible.</S><S sid = 178 ssid = >There were surprisingly many examples of such patterns that could not be analyzed using binary-branching structures without discontinuities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1123.txt | Citing Article:  P08-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this sense, our model behaves like a phrase based model, less sensitive to discontinuous phrases (Wellington et al, 2006).</S> | Reference Offset:  ['32','166'] | Reference Text:  <S sid = 32 ssid = >For example, given a sentence pair like (he left slowly /slowly he left) with the correct word alignment, a phrase-based translation model can add a single 3-word biphrase to its phrase table.</S><S sid = 166 ssid = >For example, Callison-Burch et al. (2005) have advocated for longer phrases in finite-state phrase-based translation models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1123.txt | Citing Article:  P07-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We propose SG-ITG that follows Wellington et al (2006)'s suggestion to model at most one gap.</S> | Reference Offset:  ['35','46'] | Reference Text:  <S sid = 35 ssid = >Decomposing the translational equivalence relations in the training data into smaller units of knowledge can improve a model’s ability to generalize (Zhang et al., 2006).</S><S sid = 46 ssid = >ITG.</S> | Discourse Facet:  NA | Annotator: Automatic


