Citance Number: 1 | Reference Article:  P91-1034.txt | Citing Article:  P13-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As a result, we can find complementary cues in the two languages that help to disambiguate named entity mentions (Brown et al, 1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brown et al. [Brown et al., 1990], show an example of such au automatically derived alignment in their Figure 3.</S><S sid = NA ssid = NA>An alluring aspect of the statistical approach to machine translation rejuvenated by Brown et al. [Brown et at., 1988, Brown et al., 1990] is the systematic framework it provides for attacking the problem of lexical disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P91-1034.txt | Citing Article:  W06-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It has been equally shown that collocations are useful in a range of other applications, such as word sense disambiguation (Brown et al, 1991) and parsing (Alshawi and Carter, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Following Brown et al. [Brown et al., 1994 we choose as the translation of a French sentence F that sentence E for which Pr (EIF) is greatest.</S><S sid = NA ssid = NA>An alluring aspect of the statistical approach to machine translation rejuvenated by Brown et al. [Brown et at., 1988, Brown et al., 1990] is the systematic framework it provides for attacking the problem of lexical disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P91-1034.txt | Citing Article:  W96-0104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Brown et al (1991) and Gale et al (1992) used the translations of the ambiguous word in a bilingual corpus as sense tags.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brown et al. [Brown et al., 1990], show an example of such au automatically derived alignment in their Figure 3.</S><S sid = NA ssid = NA>Following Brown et al. [Brown et al., 1994 we choose as the translation of a French sentence F that sentence E for which Pr (EIF) is greatest.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P91-1034.txt | Citing Article:  P05-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Brown et al (1991) proposed a WSD algorithm to disambiguate English translations of French target words based on the single most informative context feature.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our method asks a. single question about a single word of context.</S><S sid = NA ssid = NA>To understand their algorithm, first imagine that w is a French word and that English words which are possible translations of w have been divided into two classes.</S> | Discourse Facet:  NA | Annotator: Automatic


