Citance Number: 1 | Reference Article:  P02-1034.txt | Citing Article:  P02-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Collins and Duffy 2002) describe the voted perceptron applied to the named-entity data in this paper, but using kernel-based features rather than the explicit features described in this paper.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>features.</S><S sid = NA ssid = NA>This result is derived using a new kernel, for tagged sequences, described in this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P02-1034.txt | Citing Article:  P13-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The vector is trained using the perceptron algorithm in combination with the averaging method to avoid over fitting; see Freund and Schapire (1999) and Collins and Duffy (2002) for details.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is an incredibly simple algorithm toimplement, and yet it has been shown to be com petitive with more recent learning methods such as support vector machines ? see (Freund & Schapire 1999) for its application to image classification, for example.</S><S sid = NA ssid = NA>The perceptron algorithm is one of the oldest algorithms in machine learning, going back to (Rosen blatt 1958).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P02-1034.txt | Citing Article:  D11-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is essentially the syntactic tree kernel (STK) proposed in (Collins and Duffy, 2002) in which syntactic fragments from constituency trees can be matched even if they only differ in the leaf nodes (i.e. they have different surface forms).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>?kernel?</S><S sid = NA ssid = NA>We show how the algorithms can be efficientlyapplied to exponential sized representations of parse trees, such as the ?all sub trees?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P02-1034.txt | Citing Article:  D11-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The candi dates might be enumerated by a number of methods.The experiments in this paper use the top</S><S sid = NA ssid = NA>trick ((Cristianini and Shawe-Taylor 2000) discuss kernel methods at length).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P02-1034.txt | Citing Article:  W10-2910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Instead, the method employed by many rerankers following Collins and Duffy (2002) directly learn a scoring function that is trained to maximize performance on the reranking task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A previous paper (Collins and Duffy 2001) showed improvements over a PCFG in parsing the ATIS task.</S><S sid = NA ssid = NA>In this paper we show that the method scales to far more complex domains.</S> | Discourse Facet:  NA | Annotator: Automatic


